Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%							MPN	0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+					
		Nut_Sample	Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D/HQ2200#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity	Enterococcus	Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments				
			Example:		26	R2RS	LLHS	CM	TF	MS	RCB	RCB170821	2020	Canoe Beach	2017-08-21	9:22:00	1	1	4	2	3	1	7	2		RCB170821	27.0	33.1	6.92	104.4	8.18	5.78	5.86	6.03	Calculated	Calculated		1	0		1	20		RHL no waves at collection site but waves breaking starting halfway to Lipoa Point, light rain the night before				
yes	yes	yes	no	no	1	Makena	NMS	SF	AW	TW	MML	MML171108		Makena Landing	2017-11-08	8:30	1	1	1	1	1	20	6	1	Trades	MML171108	26.7	35.2	6.45	97.8	8.26	1.41	1.48	1.44	1.44	0.024		1	0		2	0	0					
yes	yes	yes	no	no	1	Makena	NMS	SF	AW	TW	MMB	MMB171108		Maluaka Beach	2017-11-08	8:52	1	1	1	1	1	20	6	1	Trades	MMB171108	26.9	35.4	6.43	98.1	8.28	0.60	0.61	0.64	0.62	0.034		1	0		7	5	0					
yes	yes	yes	no	no	1	Makena	NMS	SF	AW	TW	MON	MON171108		Oneuli	2017-11-08	9:27	1	1	1	1	1	20	6	1	Trades	MON171108	26.8	35.5	6.07	92.5	8.19	1.13	1.11	1.22	1.15	0.051		1	0		0	1	0					
yes	yes	yes	no	no	1	Makena	NMS	SF	AW	TW	MBS	MBS171108		Makena Beach Shoreline	2017-11-08	9:57	1	1	1	1	1	20	6	1	Trades	MBS171108	26.7	35.4	6.55	99.5	8.26	0.71	0.71	0.75	0.72	0.032		2	0		2	6	0					
yes	yes	yes	no	no	2	Makena	NMS	LL	AW	TW	MML	MML171122		Makena Landing	2017-11-22	8:05	2	2	2	2	2	6	3	0	Trades	MML171122	25.5	36.1	6.47	96.7	8.24	0.56	0.58	0.54	0.56	0.036		1	1		0	0	0	Lots of kayakers, but not within 100ft				
yes	yes	yes	no	no	2	Makena	NMS	LL	AW	TW	MMB	MMB171122		Maluaka Beach	2017-11-22	8:40	2	2	2	2	2	6	3	0	Trades	MMB171122	25.4	36.2	6.58	98.3	8.24	0.52	0.53	0.49	0.51	0.041		2	2		0	0	0					
yes	yes	yes	no	no	2	Makena	NMS	LL	AW	TW	MON	MON171122		Oneuli	2017-11-22	9:10	2	2	2	2	2	6	3	0	Trades	MON171122	25.6	36.1	6.78	101.5	8.25	1.95	2.01	2.04	2.00	0.023		2	3		2	4	0					
yes	yes	yes	no	no	2	Makena	NMS	LL	AW	TW	MBS	MBS171122		Makena Beach Shoreline	2017-11-22	9:30	2	2	2	2	2	6	3	0	Trades	MBS171122	26.1	35.9	6.59	99.3	8.25	0.44	0.43	0.44	0.44	0.013		2	2		0	0	0					
