,,Data Provided by:,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,
,,808-956-5878,,,,,,,,,,
,,,,,,,,,,,,
,,Date Samples Received:,,1/4/24,SM107,,,,,,,
,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,
,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,
NKN231219-N-1,1,187.77,14.61,12.68,1114.43,101.67,2.51,,,,,
KWP231219-N-1,2,114.02,15.13,11.40,854.11,29.03,1.46,,,,,
KKS231219-N-1,3,157.59,10.36,9.12,623.01,66.86,2.17,,,,,
KKP231219-N-1,4,169.70,10.99,8.22,315.34,74.10,5.14,,,,,
KCP231220-N-1,5,524.81,29.40,21.43,1240.58,381.54,7.37,,,,,
MMB231220-N-1,6,111.01,8.25,5.48,148.31,26.13,0.71,,,,,
MAN231220-N-1,7,123.20,9.25,5.55,120.40,8.07,6.74,,,,,
MAS231220-N-1,8,112.52,15.50,6.08,114.86,11.76,6.15,,,,,
NMH231221-N-1,9,156.87,12.44,7.79,418.14,62.44,6.31,,,,,
NMC231221-N-1,10,304.30,9.21,7.37,786.57,196.61,5.19,,,,,
NHP231221-N-1,11,162.34,10.05,7.04,372.11,66.46,2.80,,,,,
NKP231221-N-1,12,90.64,8.99,5.26,63.35,5.91,2.30,,,,,
NKC231221-N-1,13,205.29,11.64,7.66,406.86,114.73,0.55,,,,,
,,,,,,,,,,,,
