,,Data Provided by:,,,,,,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,,,,,,
,,808-956-5878,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Date Samples Received:,,3/12/24,SM110,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,,,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,,,,,,
KWP240305-N-1,1,149.00,15.27,10.38,904.25,45.93,1.61,,,,,,,,,,
KKS240305-N-1,2,105.49,12.13,7.71,540.38,27.16,2.90,,,,,,,,,,
KKP240305-N-1,3,123.66,8.51,2.75,88.08,6.01,2.24,,,,,,,,,,
KCP240305-N-1,4,117.77,12.76,7.08,321.17,50.12,3.42,,,,,,,,,,
WKD240305-N-1,5,97.31,9.83,3.59,115.33,18.21,2.49,,,,,,,,,,
WKB240305-N-1,6,93.43,10.74,3.15,153.43,16.63,0.89,,,,,,,,,,
WUL240306-N-1,7,215.80,13.08,5.28,347.01,78.49,2.14,,,,,,,,,,
WPL240306-N-1,8,101.85,8.91,2.09,119.27,16.82,3.45,,,,,,,,,,
MMB240306-N-1,9,103.84,9.23,2.61,264.24,25.19,0.64,,,,,,,,,,
MAN240306-N-1,10,111.40,11.97,8.10,843.98,33.23,3.48,,,,,,,,,,
MAS240306-N-1,11,131.13,12.36,9.41,934.48,58.87,1.50,,,,,,,,,,
NMH240307-N-1,12,125.52,11.33,5.02,349.87,51.67,6.07,,,,,,,,,,
NMC240307-N-1,13,238.49,7.72,1.84,689.39,79.00,4.33,,,,,,,,,,
NHP240307-N-1,14,222.96,10.35,3.20,595.87,79.01,2.18,,,,,,,,,,
NKP240307-N-1,15,62.87,13.54,3.20,58.68,4.13,4.71,,,,,,,,,,
NKC240307-N-1,16,128.12,15.01,6.73,188.17,59.12,9.33,,,,,,,,,,
NKN240307-N-1,17,438.05,16.77,15.32,2495.78,79.04,7.17,,,,,,,,,,
