,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,8/27/2024,SM118,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
KWP240820-N-1,1,108.16,14.26,12.78,788.19,19.05,5.53
KKS240820-N-1,2,124.36,11.53,9.01,922.28,36.62,3.45
KKP240820-N-1,3,111.18,10.08,3.65,201.37,17.22,4.90
KCP240820-N-1,4,976.91,28.48,18.83,3471.82,784.29,24.75
WKD240820-N-1,5,109.58,10.58,6.58,231.32,27.31,3.71
WKB240820-N-1,6,85.10,9.49,4.57,92.72,5.83,4.03
WUL240821-N-1,7,154.68,9.08,5.95,114.19,26.07,9.16
WPL240821-N-1,8,95.60,9.17,4.64,133.27,13.18,3.77
MMB240821-N-1,9,113.99,11.36,5.54,174.35,34.74,1.47
MAN240821-N-1,10,89.20,10.24,6.47,233.69,8.45,5.08
MAS240821-N-1,11,104.94,11.42,9.08,575.40,26.68,4.40
NMH240822-N-1,12,136.30,10.87,7.76,491.66,49.44,9.04
NMC240822-N-1,13,137.92,10.17,4.82,472.55,44.43,6.69
NHP240822-N-1,14,122.33,9.63,5.14,299.69,42.24,1.78
NKP240822-N-1,15,82.45,8.76,4.12,78.07,2.39,2.72
NKC240822-N-1,16,139.39,11.19,7.56,392.85,59.67,2.71
NKN240822-N-1,17,164.20,10.60,7.00,1261.15,86.35,3.06
