,,Data Provided by:,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,
,,808-956-5878,,,,,,,,,
,,Date Samples Received:,,3/24/26,SM145,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,
"ID",Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,
NMP260320-N-1,1,248.02,23.85,21.34,1863.44,149.24,18.02,,,,
NKN260320-N-1,2,178.11,19.73,16.55,1235.20,110.33,18.90,,,,
KWP260320-N-1,3,275.22,23.12,21.48,1872.48,174.70,3.98,,,,
KKS260320-N-1,4,395.20,29.11,28.47,3433.40,236.01,18.66,,,,
KKP260320-N-1,5,197.49,17.89,13.90,992.46,115.43,4.95,,,,
KCP260320-N-1,6,396.68,23.93,20.22,1829.69,279.25,6.88,,,,
WKD260320-N-1,7,168.33,13.08,8.14,467.17,88.43,1.75,,,,
WKB260318-N-1,8,91.17,12.72,7.38,126.69,34.54,1.87,,,,
WUL260318-N-1,9,111.25,12.66,6.96,194.19,55.33,0.79,,,,
WPL260318-N-1,10,105.10,11.70,6.65,342.21,50.59,3.42,,,,
MMB260318-N-1,11,242.08,15.43,11.50,748.90,134.36,6.44,,,,
MAN260318-N-1,12,98.94,13.63,8.87,312.63,38.28,3.98,,,,
MAS260318-N-1,13,200.79,14.83,11.73,655.24,105.63,4.35,,,,
NMH260319-N-1,14,114.33,15.45,10.72,439.51,50.04,14.58,,,,
NMC260319-N-1,15,292.59,18.22,14.75,<1.4,192.52,20.88,,,,
NHP260319-N-1,16,109.81,14.98,9.96,267.76,44.60,15.84,,,,
NKP260319-N-1,17,83.35,14.56,9.47,157.73,14.83,17.61,,,,
NSB260319-N-1,18,136.69,17.25,13.26,286.88,54.57,26.47,,,,
NKC260319-N-1,19,280.63,20.12,15.27,485.88,174.02,24.35,,,,
