,,Data Provided by:,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,
,,808-956-5878,,,,,,,,,
,,,,,,,,,,,
,,Date Samples Received:,,1/18/24,WM132,,,,,,
,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,
,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,
RCB240110-N-1,1,103.93,13.71,9.70,141.28,14.32,4.35,,,,
RWA240110-N-1,2,106.97,13.11,8.93,290.74,12.61,4.21,,,,
LMT240110-N-1,3,128.89,15.84,11.89,375.54,37.97,8.24,,,,
LMR240110-N-1,4,216.88,15.52,13.44,2837.35,58.53,5.21,,,,
LPS240110-N-1,5,129.81,17.33,13.44,403.61,21.54,6.61,,,,
LLH240110-N-1,6,149.28,16.80,14.07,573.51,26.63,12.79,,,,
PFF240110-N-1,7,122.55,13.42,9.24,235.54,21.73,6.01,,,,
PLH240110-N-1,8,125.34,14.51,10.68,255.57,17.79,9.12,,,,
PLT240110-N-1,9,149.58,16.35,12.83,595.72,29.43,18.90,,,,
OCO240110-N-1,10,125.29,13.73,10.09,276.02,25.35,6.16,,,,
OMM240110-N-1,11,147.33,13.11,10.21,491.65,46.98,10.06,,,,
OUB240110-N-1,12,109.41,11.74,8.14,227.07,15.78,3.14,,,,
OPP240110-N-1,13,117.29,10.93,6.56,171.06,24.12,8.80,,,,
RHL240111-N-1,14,112.85,11.93,7.59,396.83,10.11,7.75,,,,
RON240111-N-1,15,97.75,10.28,5.54,87.93,3.75,1.49,,,,
RFS240111-N-1,16,148.92,16.44,13.76,829.04,51.26,3.10,,,,
RKO240111-N-1,17,133.44,16.69,14.84,560.50,42.06,1.45,,,,
RKV240111-N-1,18,188.37,16.58,14.61,983.13,97.62,3.07,,,,
LMT240112-N-1,19,122.81,12.85,8.03,236.97,24.31,4.65,,,,
LMR240112-N-1,20,113.88,11.88,9.27,2922.50,19.56,3.05,,,,
LPS240112-N-1,21,105.74,13.17,8.94,341.79,10.79,3.63,,,,
LLH240112-N-1,22,112.33,12.88,8.36,210.56,9.54,7.36,,,,
PFF240112-N-1,23,120.63,11.37,7.01,134.36,12.40,3.92,,,,
PLH240112-N-1,24,106.94,12.85,8.33,239.71,9.88,6.02,,,,
PLT240112-N-1,25,96.46,11.49,5.34,130.96,7.08,4.00,,,,
,,,,,,,,,,,
