,,Data Provided by:,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,
,,808-956-5878,,,,,,,,,
,,,,,,,,,,,
,,Date Samples Received:,,4/24/24,WM136b,,,,,,
,,,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,
,,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,
RWA240415-N-1,1,118.08,13.65,8.39,478.36,15.89,0.92,,,,
LMT240415-N-1,2,103.74,10.75,6.68,409.58,6.92,0.89,,,,
LMR240415-N-1,3,111.96,10.41,8.21,1460.99,13.09,1.04,,,,
LPS240415-N-1,4,101.59,10.48,5.01,265.22,6.04,0.72,,,,
LLH240415-N-1,5,93.81,10.14,4.23,197.77,3.32,2.65,,,,
PFF240415-N-1,6,87.47,9.92,4.47,126.91,4.86,0.55,,,,
PLH240415-N-1,7,124.56,17.89,8.78,315.42,6.02,11.24,,,,
PLT240415-N-1,8,96.58,11.15,6.33,275.57,5.58,2.84,,,,
