,,Data Provided by:,,,,,,,
,,SOEST Laboratory for ,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,
,,University of Hawaii at Manoa ,,,,,,,
,,1000 Pope Rd,,,,,,,
,,"Honolulu, HI 96822",,,,,,,
,,808-956-5878,,,,,,,
,,,,,,,,,
,,Date Samples Received:,,8/15/2024,WM142,,,,
,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,
,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,
RNS240806-N-1,1,110.86,11.53,10.52,633.89,28.94,3.25,,
RPO240806-N-1,2,225.39,12.85,11.21,1566.98,139.58,3.99,,
RKS240806-N-1,3,110.89,10.24,5.28,203.15,4.39,4.50,,
RKT240806-N-1,4,79.98,10.69,6.66,163.14,3.59,1.28,,
RCB240806-N-1,5,94.35,12.67,8.30,286.93,17.52,3.28,,*bottle was broken but sample was able to be saved
RWA240806-N-1,6,107.74,15.11,13.57,1171.54,35.66,0.65,,
OCO240807-N-1,7,70.43,7.80,5.11,202.35,2.61,1.61,,
OMM240807-N-1,8,64.82,6.99,4.73,340.46,3.71,1.09,,
OUB240807-N-1,9,71.38,8.09,4.77,132.43,2.49,0.71,,
OPP240807-N-1,10,74.55,8.01,5.03,124.18,3.91,1.92,,
RHL240808-N-1,11,86.01,10.02,6.99,311.69,2.51,8.06,,
RON240808-N-1,12,96.25,11.75,8.51,113.97,2.45,3.82,,
RFS240808-N-1,13,180.20,14.81,11.26,709.97,63.35,7.41,,
RKO240808-N-1,14,97.41,10.22,6.27,212.88,14.55,3.10,,
RKV240808-N-1,15,103.27,8.85,5.77,348.03,20.79,3.55,,
LMT240809-N-1,16,79.26,9.83,7.12,413.96,15.01,2.58,,
LMR240809-N-1,17,77.71,11.14,7.33,302.33,4.22,5.21,,
LPS240809-N-1,18,72.04,7.10,2.89,165.45,1.49,1.12,,
LLH240809-N-1,19,76.92,8.79,4.97,187.87,3.25,2.83,,
PFF240809-N-1,20,81.73,8.81,5.63,198.24,4.33,1.63,,
PLH240809-N-1,21,82.28,11.10,10.38,584.92,7.22,6.50,,
PLT240809-N-1,22,123.95,11.48,9.93,668.99,19.12,14.99,,
