,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,11/6/2024,WM146,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RNS241029-N-1,1,86.30,9.62,7.11,294.85,10.60,1.50
RPO241029-N-1,2,400.69,20.02,13.85,2319.15,268.77,3.04
RKS241029-N-1,3,77.35,17.32,6.94,309.89,7.27,0.55
RKT241029-N-1,4,80.66,9.77,6.52,161.64,6.53,0.81
RCB241029-N-1,5,121.34,10.53,7.89,513.64,45.84,2.02
RWA241029-N-1,6,96.31,17.91,11.22,1015.80,24.16,<0.28
PLH241030-N-1,7,79.12,9.33,8.91,359.22,6.35,1.96
PLT241030-N-1,8,88.86,7.50,6.98,190.79,4.42,1.35
OCO241030-N-1,9,66.46,8.39,5.27,312.74,4.80,0.40
OMM241030-N-1,10,69.77,9.59,6.74,512.07,5.62,1.34
OUB241030-N-1,11,74.23,10.41,6.14,191.09,2.76,1.07
OPP241030-N-1,12,75.73,11.00,5.45,222.78,3.73,1.37
RHL241031-N-1,13,83.58,11.12,5.62,349.16,2.39,3.18
RON241031-N-1,14,76.67,10.74,4.81,66.84,2.52,1.54
RFS241031-N-1,15,132.61,16.44,12.46,756.95,51.80,2.29
RKO241031-N-1,16,118.23,15.92,12.03,569.60,44.80,1.41
RKV241031-N-1,17,77.41,11.76,8.29,416.92,9.29,0.40
LMT241101-N-1,18,88.63,10.50,6.63,428.87,18.17,2.60
LMR241101-N-1,19,167.95,8.38,6.21,2286.06,80.24,1.86
LPS241101-N-1,20,74.24,10.21,5.54,258.24,2.07,0.33
LLH241101-N-1,21,87.02,12.49,6.98,353.76,7.09,5.79
PFF241101-N-1,22,81.17,11.56,7.68,289.94,6.10,0.88
