,,Data Provided by:,,,,,
,,SOEST Laboratory for ,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,
,,University of Hawaii at Manoa ,,,,,
,,1000 Pope Rd,,,,,
,,"Honolulu, HI 96822",,,,,
,,808-956-5878,,,,,
,,,,,,,
,,Date Samples Received:,,2/19/2025,WM150b,,
,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,
,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia
ID,Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
RHL250206-N-1,1,78.60,12.71,9.44,643.11,3.02,1.68
RON250206-N-1,2,75.79,11.11,6.57,133.53,1.95,0.81
RFS250206-N-1,3,101.14,14.00,10.94,583.37,31.82,2.10
RKO250206-N-1,4,99.34,14.78,11.77,474.95,31.40,1.74
RKV250206-N-1,5,78.03,10.91,7.75,169.19,2.85,1.50
