,,Data Provided by:,,,,,,,,,,,,
,,SOEST Laboratory for ,,,,,,,,,,,,
,,Analtyical Biogeochemistry (S-LAB),,,,,,,,,,,,
,,University of Hawaii at Manoa ,,,,,,,,,,,,
,,1000 Pope Rd,,,,,,,,,,,,
,,"Honolulu, HI 96822",,,,,,,,,,,,
,,808-956-5878,,,,,,,,,,,,
,,Date Samples Received:,,4/9/26,WM170,,,,,,,,,
,,Project:,MNMRC,Project: Hui O Ka Wai Ola,,,,,,,,,,
Sample,Sample,Total N,Total P,Phosphate,Silicate,N+N,Ammonia,,,,,,,
"ID",Number,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,,,,,,,
RNS260331-N-1,1,68.89,11.61,6.93,241.16,10.61,0.53,,,,,,,
RPO260331-N-1,2,294.16,20.00,7.59,2283.54,200.83,1.58,,,,,,,
RKS260331-N-1,3,66.57,11.87,6.14,414.56,4.44,<0.28,,,,,,,
RKT260331-N-1,4,70.82,11.52,5.50,127.60,4.63,8.70,,,,,,,
RCB260331-N-1,5,104.40,14.36,7.31,288.62,37.96,2.89,,,,,,,
RWA260331-N-1,6,87.94,15.31,9.87,967.86,32.16,<0.28,,,,,,,
LBL260331-N-1,7,4.69,<1.2,<0.3,<1.4,0.68,<0.28,,,,,,,
PLH260401-N-1,8,84.64,16.48,7.72,230.95,3.30,3.50,,,,,,,
PLT260401-N-1,9,65.53,12.02,6.79,324.31,6.41,2.87,,,,,,,
OCO260401-N-1,10,88.12,10.55,4.42,204.79,6.97,7.22,,,,,,,
OMM260401-N-1,11,79.98,26.53,11.69,318.08,4.21,8.31,,,,,,,
OUB260401-N-1,12,94.40,18.96,5.68,116.71,29.31,2.83,,,,,,,
OPP260401-N-1,13,86.38,8.89,4.52,325.16,24.75,0.76,,,,,,,
RHL260402N-1,14,84.69,25.61,11.73,678.36,11.43,1.14,,,,,,,
RON260402-N-1,15,52.98,10.26,4.63,77.16,3.08,3.44,,,,,,,
RFS260402-N-1,16,90.21,13.93,8.63,383.52,26.11,29.89,,,,,,,
RKO260402-N-1,17,93.43,13.78,8.14,910.94,39.82,45.07,,,,,,,
RKV260402-N-1,18,79.76,10.26,5.83,274.08,24.49,28.31,,,,,,,
LMT260403-N-1,19,67.74,8.54,3.47,492.99,10.62,11.97,,,,,,,
LMR260403-N-1,20,104.08,10.45,7.85,2903.32,53.27,<0.28,,,,,,,
LPS260403-N-1,21,152.02,10.79,5.68,463.26,91.51,2.07,,,,,,,
LLH260403-N-1,22,61.85,10.43,4.96,215.10,4.98,5.31,,,,,,,
PFF260403-N-1,23,54.13,10.19,6.00,378.62,3.66,4.18,,,,,,,
