	SampleID	SiteName	Station	Session	Date	Time	Temp	Salinity	DO	DO_sat	pH	Turbidity	TotalN	TotalP	Phosphate	Silicate	NNN	NH4	Lat	Long	QA issues or comments
1	LHB230616	Hulopo'e Beach Park	LHB	1	06/16/23	08:00	26.3	35.8	6.61	99.6	8.13	0.83	84.51	7.83	3.59	83.33	2.56	6.63	20.738818	-156.893479	
2	LMN230616	Manele Bay	LMN	1	06/16/23	08:23	26.6	35.9	6.11	92.4	8.12	6.60	100.37	10.16	5.89	200.73	4.99	7.07	20.741563	-156.887956	
3	LMN230707	Manele Bay	LMN	2	07/07/23	07:50	26.8	36.1	6.12	92.7	8.16	5.34	116.94	9.19	5.60	214.93	6.01	4.71	20.741563	-156.887956	
4	LHB230707	Hulopo'e Beach Park	LHB	2	07/07/23	08:35	26.7	36.3	6.61	100.0	8.18	0.49	74.70	7.11	3.36	94.05	3.78	2.47	20.738818	-156.893479	
5	LMN230728	Manele Bay	LMN	3	07/28/23	08:01	27.0	35.5	6.07	92.3	8.08	4.09	117.31	8.75	5.58	211.68	5.48	8.41	20.741563	-156.887956	
6	LHB230728	Hulopo'e Beach Park	LHB	3	07/28/23	09:00	26.9	35.5	6.76	102.7	8.16	1.19	97.72	6.02	2.04	171.86	4.75	1.92	20.738818	-156.893479	
7	LMN230912	Manele Bay	LMN	4	09/12/23	07:54	27.4	35.5	6.33	96.3	8.05	5.47	107.79	8.12	5.12	177.01	6.61	4.57	20.741563	-156.887956	
8	LHB230912	Hulopo'e Beach Park	LHB	4	09/12/23	08:15	26.7	35.4	6.76	101.9	8.08	0.93	112.25	7.18	2.43	64.73	3.52	5.73	20.738818	-156.893479	
9	LMN230928	Manele Bay	LMN	5	09/28/23	08:00	26.8	35.2	6.37	96.0	8.10	3.59	104.93	9.35	5.23	105.95	3.82	1.30	20.741563	-156.887956	
10	LHB230928	Hulopo'e Beach Park	LHB	5	09/28/23	08:16	26.5	35.3	6.77	101.7	8.10	1.45	80.63	6.84	3.71	61.24	3.15	3.82	20.738818	-156.893479	
11	LMN231023	Manele Bay	LMN	6	10/23/23	09:14	27.4	36.2	6.20	95.1	8.07	2.83	95.66	6.41	2.66	135.76	5.13	3.63	20.741563	-156.887956	
12	LHB231023	Hulopo'e Beach Park	LHB	6	10/23/23	09:40	26.9	36.2	6.77	103.2	8.10	0.94	84.27	5.44	1.92	58.17	4.72	3.75	20.738818	-156.893479	
13	LMN231113	Manele Bay	LMN	7	11/13/23	08:55	25.8	35.8	6.31	93.9	8.15	2.18	106.56	6.95	3.32	144.72	7.69	3.52	20.741563	-156.887956	
14	LHB231113	Hulopo'e Beach Park	LHB	7	11/13/23	09:50	26.3	35.8	6.69	100.6	8.20	0.88	82.31	7.48	3.12	190.13	3.66	0.40	20.738818	-156.893479	
15	LMN231204	Manele Bay	LMN	8	12/04/23	08:55	26.4	36.0	6.32	95.2	8.04	5.44	113.14	8.53	7.23	183.02	22.57	9.55	20.741563	-156.887956	
16	LHB231204	Hulopo'e Beach Park	LHB	8	12/04/23	09:30	25.9	36.0	6.85	102.3	8.14	1.54	86.74	7.45	5.00	111.57	4.99	1.01	20.738818	-156.893479	
17	LMN240122	Manele Bay	LMN	9	01/22/24	09:30	25.1	36.1	6.62	97.8	8.13	7.37	107.79	9.51	4.32	163.88	7.45	7.91	20.741563	-156.887956	
18	LHB240122	Hulopo'e Beach Park	LHB	9	01/22/24	10:02	25.3	36.1	6.88	102.2	8.17	1.96	96.94	9.71	3.18	51.66	3.20	7.40	20.738818	-156.893479	
19	LMN240212	Manele Bay	LMN	10	02/12/24	08:48	24.7	36.3	6.58	96.1	8.09	3.12	67.33	9.09	4.14	148.33	6.24	3.20	20.741563	-156.887956	
20	LHB240212	Hulopo'e Beach Park	LHB	10	02/12/24	09:20	24.6	36.3	6.93	101.4	8.13	1.07	125.84	11.19	4.99	63.74	3.00	2.28	20.738818	-156.893479	
21	LMN240226	Manele Bay	LMN	11	02/26/24	09:00	24.3	36.4	6.57	95.3	8.17	4.72	84.19	8.31	2.41	207.13	5.93	4.33	20.741563	-156.887956	
22	LHB240226	Hulopo'e Beach Park	LHB	11	02/26/24	09:24	24.5	36.4	6.77	98.5	8.18	0.89	78.33	7.94	2.20	108.91	4.06	0.81	20.738818	-156.893479	
23	LMN240311	Manele Bay	LMN	12	03/11/24	09:10	24.0	36.8	6.56	95.0	8.10	5.91							20.741563	-156.887956	nutrient data pending
24	LHB240311	Hulopo'e Beach Park	LHB	12	03/11/24	09:42	24.2	37.2	6.88	100.3	8.15	0.58							20.738818	-156.893479	nutrient data pending
