hui_site_id	aqualink_site_id	name	st_astext
RHL	3400	Honolua Bay	POINT(-156.6384 21.0135)
RON	3401	Oneloa Bay	POINT(-156.659 21.00406)
RFS	3402	Kapalua Bay	POINT(-156.667 20.99873)
RNS	3403	Nāpili Bay	POINT(-156.667 20.99422)
RKO	3404	Kaʻōpala Bay	POINT(-156.673 20.982)
RKV	3405	Kahana Village	POINT(-156.678 20.97656)
RPO	3406	Pōhaku Park	POINT(-156.681 20.96708)
RKT	3407	Airport Beach	POINT(-156.693 20.93958)
RKS	3408	Kā‘anapali Shores	POINT(-156.693 20.93766)
RCB	3409	Hanakaʻōʻō Park (Canoe Beach)	POINT(-156.689 20.91035)
RWA	3410	Wahikuli Park	POINT(-156.686 20.90448)
PFF	3411	505 Front St	POINT(-156.676 20.86732)
PLT	3412	Kauaʻula Rd	POINT(-156.674 20.86485)
PLH	3413	Polanui-Uhailio	POINT(-156.673 20.86356)
OCO	3414	Camp Olowalu	POINT(-156.614 20.80986)
OSF	3415	Olowalu Shore Front	POINT(-156.623 20.80916)
OPM	3416	Olowalu Point	POINT(-156.62 20.80844)
OUB	3417	Ukumehame Park	POINT(-156.581 20.79448)
OPB	3418	Pāpalaua Park	POINT(-156.575 20.79381)
OPP	3419	Pāpalaua Pali	POINT(-156.567 20.79275)
NMH	3420	Māʻalaea Harbor	POINT(-156.511 20.79031)
NMC	3421	Māʻalaea Condos	POINT(-156.507 20.79492)
NHP	3422	Haycraft Park	POINT(-156.503 20.79641)
NKP	3423	Keālia Pond	POINT(-156.486 20.79494)
NSB	3424	Sugar Beach	POINT(-156.466 20.7842)
NKC	3425	Kīhei Canoe Club	POINT(-156.463 20.7814)
NMP	3426	Mai Poina Park	POINT(-156.461 20.77489)
NKN	3427	Kalepolepo North	POINT(-156.459 20.76513)
KWP	3428	Waipuʻilani Park	POINT(-156.46 20.75506)
KKS	3429	West Lipoa St	POINT(-156.458 20.74733)
KKP	3430	Kalama Park	POINT(-156.454 20.73104)
KCP	3431	Cove Park	POINT(-156.45 20.72748)
KKO	3432	Kama'ole Beach I	POINT(-156.449 20.7242)
KKT	3433	Kama'ole Beach III	POINT(-156.447 20.71335)
WKD	3434	Kilohana Dr	POINT(-156.446 20.70221)
WKB	3435	Keawekapu Beach	POINT(-156.445 20.69594)
WUL	3436	Ulua Park 	POINT(-156.444 20.69112)
WPL	3437	Palauea Beach	POINT(-156.443 20.66957)
WPO	3438	Po'olenalena (Chang's Beach)	POINT(-156.442 20.66339)
MML	3439	Mākena Landing	POINT(-156.441 20.65391)
MMB	3440	Maluaka Beach	POINT(-156.444 20.6456)
MON	3441	One‘uli Beach	POINT(-156.447 20.63987)
MBS	3442	Mākena State Park	POINT(-156.449 20.63333)
MAN	3443	ʻĀhihi-Kīna‘u North	POINT(-156.438 20.61837)
MAS	3444	ʻĀhihi-Kīna‘u South	POINT(-156.437 20.6138)
