aqualink_site_id,Date,Time,Temp,Salinity,DO,DO_sat,pH,Turbidity,TotalN,TotalP,Phosphate,Silicate,NNN,NH4
3406,06/14/16,08:03,25.7,33.3,6.86,102.1,8.11,13.90,311.07,26.26,18.72,1697.47,233.11,2.81
3408,06/14/16,08:37,24.9,23.8,6.86,100.6,8.07,16.80,75.08,18.80,9.06,1720.37,5.65,4.15
3409,06/14/16,09:50,27.2,34.7,6.78,103.5,8.06,5.86,117.22,16.68,9.40,576.28,49.04,2.27
3410,06/14/16,10:24,27.3,34.6,6.66,101.8,8.15,3.47,84.60,24.07,12.38,822.08,21.35,1.50
3411,06/15/16,07:37,26.7,27.8,6.27,94.7,8.05,2.89,65.90,17.64,7.82,461.59,2.70,1.84
3413,06/15/16,08:28,26.8,28.1,6.57,99.6,7.99,2.80,90.04,14.32,6.22,169.92,2.79,2.89
3412,06/15/16,08:59,27.2,28.2,6.72,102.4,8.09,2.91,72.13,11.00,5.58,125.36,4.24,2.57
3415,06/15/16,10:42,27.4,29.6,6.94,106.1,8.11,1.19,71.07,14.41,4.85,72.90,4.07,2.80
3414,06/16/16,07:45,25.3,29.3,6.86,101.2,7.96,23.30,78.22,10.80,7.56,330.61,5.91,2.74
3608,06/16/16,08:20,25.4,27.7,6.61,97.8,7.91,5.48,107.57,15.37,7.28,451.55,7.11,8.69
3417,06/16/16,09:17,25.2,28.1,7.00,103.1,8.06,16.87,63.47,16.77,6.34,112.01,2.64,1.79
3418,06/16/16,09:40,25.6,28.0,7.10,105.2,8.08,10.71,66.16,20.47,5.71,137.90,2.84,1.92
3419,06/16/16,10:00,26.0,36.0,7.01,104.6,8.07,5.37,122.85,20.40,6.52,145.40,3.26,4.45
3406,06/28/16,07:25,25.7,26.4,6.71,100.0,8.09,11.73,332.98,24.80,18.29,1621.15,259.15,5.43
3408,06/28/16,07:54,24.2,22.2,6.90,100.3,8.13,9.79,75.12,14.77,8.49,1435.92,6.13,3.59
3409,06/28/16,08:46,26.6,28.2,6.81,103.0,8.09,3.43,121.25,18.89,9.13,649.57,57.28,3.20
3410,06/28/16,09:06,26.9,27.9,6.77,103.0,8.13,3.13,83.60,20.43,10.91,633.71,15.03,3.34
3411,06/29/16,07:43,27.0,30.1,6.34,96.5,7.98,1.65,63.47,15.83,6.80,317.31,2.06,2.91
3413,06/29/16,08:24,27.2,29.1,6.29,96.0,8.04,3.43,65.05,15.92,7.83,245.70,5.67,2.24
3412,06/29/16,08:50,27.3,28.9,6.21,95.0,8.02,1.98,72.79,15.90,6.78,217.71,6.28,3.17
3415,06/29/16,10:39,28.0,29.3,7.17,111.1,8.10,1.07,87.44,13.94,4.50,84.66,3.88,6.20
3414,06/30/16,07:33,27.7,30.3,6.43,98.9,8.01,7.40,84.09,14.15,5.29,354.48,1.74,4.00
3608,06/30/16,08:00,27.1,29.1,6.08,92.7,8.01,2.61,62.48,15.76,5.35,396.39,2.73,3.12
3417,06/30/16,08:31,26.9,29.7,6.81,103.4,8.05,10.60,76.47,12.30,4.05,113.15,0.12,2.92
3418,06/30/16,08:50,27.4,29.3,6.88,105.2,8.10,3.37,75.58,12.24,3.99,138.61,3.41,3.93
3419,06/30/16,09:15,27.7,29.5,6.70,103.1,8.07,4.54,60.96,12.42,4.49,72.63,0.41,3.48
3406,07/12/16,07:19,26.6,33.1,6.49,97.4,8.09,5.14,308.74,24.52,16.42,1360.25,250.73,2.25
3408,07/12/16,07:49,26.0,#N/A,6.53,100.1,8.07,3.90,73.05,14.52,6.85,680.64,2.96,2.66
3409,07/12/16,08:38,27.2,35.0,6.79,104.0,8.12,2.43,122.69,18.54,8.49,620.86,55.72,2.02
3410,07/12/16,09:02,27.4,35.7,6.66,102.7,8.16,3.41,83.07,19.36,10.40,617.54,15.74,1.50
3411,07/13/16,07:35,26.9,36.2,5.90,90.6,8.04,2.64,69.41,17.38,8.43,405.40,3.10,1.50
3413,07/13/16,08:07,27.0,36.0,5.49,84.5,8.01,2.01,81.90,17.35,8.05,279.73,8.05,2.77
3412,07/13/16,08:29,27.4,36.0,5.39,83.3,8.00,4.96,97.03,18.16,8.69,550.84,22.19,6.61
3415,07/13/16,09:48,28.0,37.4,6.98,109.8,8.04,1.86,75.50,13.92,5.10,120.86,5.10,3.37
3416,07/14/16,07:38,27.0,36.9,5.55,85.7,7.99,1.07,79.94,13.63,4.67,136.12,2.54,2.21
3414,07/14/16,08:12,28.2,37.4,6.22,98.1,8.02,22.80,67.22,14.86,7.36,595.45,1.49,1.50
3608,07/14/16,08:37,27.6,36.9,5.92,92.1,7.96,4.21,65.68,15.90,6.58,452.22,3.83,3.08
3417,07/14/16,09:00,27.8,37.2,6.65,103.9,8.09,4.15,77.70,11.77,4.37,74.21,1.87,2.19
3418,07/14/16,09:25,28.1,37.8,6.74,106.3,8.12,3.96,64.97,11.63,3.26,111.92,3.02,2.43
3419,07/14/16,09:48,28.4,37.5,6.69,106.7,8.05,2.41,59.68,12.45,4.42,149.82,1.30,1.92
3406,07/26/16,07:21,26.8,34.1,6.28,94.9,8.12,9.22,282.81,23.89,17.06,1116.96,200.67,6.69
3408,07/26/16,07:50,26.8,35.3,6.48,98.4,8.07,6.16,96.67,13.00,6.41,60.27,3.75,6.35
3409,07/26/16,08:36,27.2,34.6,6.57,100.1,8.12,4.39,111.92,14.07,9.14,449.68,40.03,4.68
3410,07/26/16,08:59,27.4,34.8,6.51,99.8,8.15,3.22,87.81,15.67,9.77,467.63,13.19,4.55
3411,07/27/16,07:28,27.4,34.7,5.90,90.2,8.04,#N/A,71.18,13.84,9.21,483.78,3.08,9.48
3413,07/27/16,08:05,27.4,35.0,5.90,90.5,8.02,8.05,85.14,13.66,10.11,408.47,7.68,6.57
3412,07/27/16,08:28,27.6,35.2,5.65,87.0,8.00,3.70,75.74,11.26,7.09,217.97,7.19,5.11
3415,07/27/16,09:39,27.8,35.5,6.89,106.6,8.12,0.98,88.96,10.52,4.72,44.64,3.82,5.97
3416,07/28/16,07:25,26.3,35.3,5.77,86.9,8.03,0.93,90.37,10.08,4.59,294.07,3.19,11.32
3414,07/28/16,07:55,26.6,35.5,6.47,98.1,8.05,12.43,64.44,9.97,6.95,560.00,1.65,42.04
3608,07/28/16,08:15,26.8,35.4,5.83,88.6,7.99,3.18,70.46,10.01,6.42,261.28,3.33,6.30
3417,07/28/16,08:40,27.0,35.6,6.81,104.0,8.11,7.46,73.55,10.71,4.75,76.83,1.09,9.69
3418,07/28/16,09:10,26.2,35.6,6.99,105.2,8.13,3.74,72.91,9.33,2.85,55.37,1.02,4.39
3419,07/28/16,09:30,26.8,35.3,6.86,104.2,8.11,1.66,71.58,11.41,2.85,156.17,1.97,7.43
3406,08/09/16,07:20,26.5,34.4,6.23,93.8,8.09,4.59,156.99,18.41,9.96,592.29,110.40,4.87
3408,08/09/16,07:45,25.8,34.9,6.38,95.1,8.03,5.81,76.01,14.15,7.25,373.12,10.63,3.85
3409,08/09/16,08:33,27.3,35.1,6.57,100.5,8.14,2.30,102.63,16.01,8.63,509.76,55.50,5.40
3410,08/09/16,08:52,27.2,35.3,6.58,100.6,8.16,0.73,63.27,14.74,6.01,268.63,7.89,4.72
3411,08/10/16,07:26,27.0,34.6,5.87,89.0,8.06,0.96,50.94,13.33,6.11,258.54,4.44,1.50
3413,08/10/16,07:52,27.3,35.0,5.53,84.5,8.02,5.50,61.90,11.79,9.56,447.20,8.71,11.90
3412,08/10/16,08:15,27.5,35.1,5.74,88.1,8.04,4.34,72.34,14.43,5.83,349.50,13.55,5.49
3415,08/10/16,09:19,27.9,35.8,6.78,105.1,8.07,1.45,54.70,11.68,4.27,76.48,4.77,3.61
3416,08/11/16,07:35,26.6,35.2,5.41,81.9,7.96,1.65,64.31,12.65,4.43,187.55,4.51,1.77
3414,08/11/16,08:00,27.2,35.6,6.18,94.7,8.06,3.28,48.57,13.29,3.89,256.82,2.44,1.55
3608,08/11/16,08:30,26.6,35.4,6.12,92.7,8.04,5.87,74.31,12.79,5.42,302.71,3.50,3.26
3417,08/11/16,08:50,27.2,35.5,6.66,102.0,8.08,10.63,54.10,13.20,3.98,66.18,3.16,1.92
3418,08/11/16,09:15,27.4,35.7,6.89,106.0,8.14,3.81,51.97,9.41,2.49,61.77,2.73,1.50
3419,08/11/16,09:40,27.3,35.3,7.17,109.9,8.14,2.33,50.55,8.52,4.06,180.81,3.06,1.50
3406,08/23/16,07:15,27.1,34.5,5.90,90.2,7.86,3.98,180.79,18.64,14.45,710.64,126.76,5.05
3408,08/23/16,07:39,26.6,26.7,6.36,92.5,8.04,10.63,90.19,15.02,8.59,496.44,15.22,3.19
3409,08/23/16,08:28,27.9,35.3,6.36,99.0,8.06,0.71,94.47,14.38,7.20,352.84,34.43,2.08
3410,08/23/16,08:47,28.0,35.7,6.23,97.4,8.06,0.63,71.25,14.83,6.20,224.59,10.41,1.50
3411,08/24/16,07:32,27.9,35.0,6.12,94.6,8.05,4.43,69.42,21.92,13.31,547.85,4.31,5.09
3413,08/24/16,08:20,28.4,35.2,5.44,85.0,8.01,25.40,91.13,19.38,10.92,699.52,28.62,5.08
3412,08/24/16,08:42,28.3,35.7,5.84,91.3,8.03,6.57,82.15,16.98,8.93,344.26,11.70,2.18
3415,08/24/16,10:00,29.0,36.0,6.85,108.5,8.10,1.30,79.93,13.90,4.60,113.47,4.55,3.72
3416,08/25/16,07:20,27.3,36.2,5.25,80.9,7.95,1.60,72.15,14.75,4.99,169.91,6.19,2.62
3414,08/25/16,07:45,28.2,36.5,5.49,85.7,7.99,2.68,66.51,13.81,4.95,238.92,5.16,1.50
3608,08/25/16,08:00,27.4,36.0,5.60,86.2,7.94,3.63,62.23,12.75,5.12,280.11,5.63,1.66
3417,08/25/16,08:10,27.8,36.2,6.30,97.6,7.99,15.23,67.52,14.74,3.78,90.14,4.40,1.50
