Monitoring Location ID,Monitoring Location Name,Monitoring Location Latitude,Monitoring Location Longitude
NMC,Maalaea Condos,20.794917,-156.506735
NMH,Maalaea Harbor,20.790305,-156.510825
NMP,Mai Poina 'Oe Ia'u,20.774894,-156.460776
MMB,Maluaka Beach,20.645598,-156.443859
MON,Oneuli,20.639866,-156.447406
HHP,Hana Pier,20.756083,-155.982167
HHH,Helene Hall,20.755472,-155.983222
HMB,Mid Bay 2,20.759806,-155.986611
HWB,Waikoloa Beach,20.761306,-155.985889
MAN,Ahihi North,20.618366,-156.437572
KKP,Kalama Park,20.730973,-156.45372
WKB,Keawekapu Beach,20.695939,-156.444632
NHP,Haycraft Park,20.796414,-156.503198
MML,Makena Landing,20.653913,-156.441174
WPL,Palauea,20.669565,-156.442907
WPO,Poolenalena (Chang's Beach),20.66339,-156.441968
WUL,Ulua Beach,20.69112,-156.444201
KWP,Waipuilani Park,20.755056,-156.459602
KKS,Kihei South (Lipoa),20.747334,-156.457881
HBP,Hana Beach Park,20.75575,-155.984667
KKO,Kamaole Beach I,20.721985,-156.448183
KKT,Kamaole Beach III,20.712908,-156.446596
WWA,Wailea Beach,20.68156,-156.443524
MBS,Makena Beach Shoreline,20.63061,-156.446183
NKP,Kealia Pond,20.794936,-156.485587
KCP,Cove Park,20.727434,-156.450077
WKD,Kilohana Dr,20.702214,-156.445921
RKT,Kahekili Two,20.941269,-156.692439
