Monitoring Location ID,Monitoring Location Name,Monitoring Location Latitude,Monitoring Location Longitude
NKN,Kalepolepo North,20.765132,-156.459344
NSB,Sugar Beach,20.784204,-156.466463
OPB,Papalaua,20.793809,-156.575211
OPP,Papalaua Pali,20.792747,-156.567326
OSF,Olowalu Shore Front,20.80916,-156.62289
PPU,Makila Point,20.859233,-156.669442
RCB,Canoe Beach,20.910347,-156.689382
RFN,DT Beach (Fleming N),21.005,-156.65084
RFS,Kapalua Bay (Fleming S),20.998924,-156.666746
RKO,Ka'opala,20.982074,-156.673398
RMO,Mokuleia,21.011352,-156.64227
RNS,Napili,20.994222,-156.667417
RWA,Wahikuli,20.904476,-156.685931
