Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
KWP	KWP180109:FM:PS:TS:	Field Msr/Obs	01/09/2018	08:07	1002	Probe/Sensor	HACH CDC401	Temperature, water			22.4	deg C		2550	APHA			
KWP	KWP180109:FM:PS:DO:	Field Msr/Obs	01/09/2018	08:07	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.71	mg/l		8157	HACH			
KWP	KWP180109:FM:PS:DO:	Field Msr/Obs	01/09/2018	08:07	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			93.3	%		8157	HACH			
KWP	KWP180109:FM:WB:	Field Msr/Obs	01/09/2018	08:07	1002	Water Bottle	HACH 2100Q	Turbidity			21.10	NTU		180.1	USEPA			
KWP	KWP180109:FM:PS:PH:	Field Msr/Obs	01/09/2018	08:07	1002	Probe/Sensor	HACH PHC101	pH			8.12	None		8156	HACH			
KWP	KWP180109:FM:PS:TS:	Field Msr/Obs	01/09/2018	08:07	1002	Probe/Sensor	HACH CDC401	Salinity			33.4	ppt		8160	HACH			
KWP	KWP180109:SR:WB:	Sample-Routine	01/09/2018	08:07	1002	Water Bottle		Total Nitrogen, mixed forms	as N		103.57	ug/l	Filtered, field	4500-N	APHA			
KWP	KWP180109:SR:WB:	Sample-Routine	01/09/2018	08:07	1002	Water Bottle		Total Phosphorus, mixed forms	as P		21.14	ug/l	Filtered, field	4500-P	APHA			
KWP	KWP180109:SR:WB:	Sample-Routine	01/09/2018	08:07	1002	Water Bottle		Orthophosphate	as P		11.59	ug/l	Filtered, field	365.5	USEPA			
KWP	KWP180109:SR:WB:	Sample-Routine	01/09/2018	08:07	1002	Water Bottle		Silicate			671.52	ug/l	Filtered, field	366	USEPA			
KWP	KWP180109:SR:WB:	Sample-Routine	01/09/2018	08:07	1002	Water Bottle		Nitrate + Nitrite	as N		28.21	ug/l	Filtered, field	353.4	USEPA			
KWP	KWP180109:SR:WB:	Sample-Routine	01/09/2018	08:07	1002	Water Bottle		Ammonium	as N		5.82	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
RNS	RNS180109:FM:PS:TS:	Field Msr/Obs	01/09/2018	08:15	1002	Probe/Sensor	HACH CDC401	Temperature, water			23.6	deg C		2550	APHA			
