Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
NKN	NKN200922:FM:PS:TS:	Field Msr/Obs	09/22/2020	07:56	1002	Probe/Sensor	HACH CDC401	Temperature, water			26.8	deg C		2550	APHA			
NKN	NKN200922:FM:PS:DO:	Field Msr/Obs	09/22/2020	07:56	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.01	mg/l		8157	HACH			
NKN	NKN200922:FM:PS:DO:	Field Msr/Obs	09/22/2020	07:56	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			91.2	%		8157	HACH			
NKN	NKN200922:FM:WB:	Field Msr/Obs	09/22/2020	07:56	1002	Water Bottle	HACH 2100Q	Turbidity			3.36	NTU		180.1	USEPA			
NKN	NKN200922:FM:PS:PH:	Field Msr/Obs	09/22/2020	07:56	1002	Probe/Sensor	HACH PHC101	pH			8.10	None		8156	HACH			
NKN	NKN200922:FM:PS:TS:	Field Msr/Obs	09/22/2020	07:56	1002	Probe/Sensor	HACH CDC401	Salinity			34.6	ppt		8160	HACH			
NKN	NKN200922:SR:WB:	Sample-Routine	09/22/2020	07:56	1002	Water Bottle		Total Nitrogen, mixed forms	as N		131.79	ug/l	Filtered, field	4500-N	APHA			
NKN	NKN200922:SR:WB:	Sample-Routine	09/22/2020	07:56	1002	Water Bottle		Total Phosphorus, mixed forms	as P		7.75	ug/l	Filtered, field	4500-P	APHA			
NKN	NKN200922:SR:WB:	Sample-Routine	09/22/2020	07:56	1002	Water Bottle		Orthophosphate	as P		5.09	ug/l	Filtered, field	365.5	USEPA			
NKN	NKN200922:SR:WB:	Sample-Routine	09/22/2020	07:56	1002	Water Bottle		Silicate			446.41	ug/l	Filtered, field	366	USEPA			
NKN	NKN200922:SR:WB:	Sample-Routine	09/22/2020	07:56	1002	Water Bottle		Nitrate + Nitrite	as N		29.80	ug/l	Filtered, field	353.4	USEPA			
NKN	NKN200922:SR:WB:	Sample-Routine	09/22/2020	07:56	1002	Water Bottle		Ammonium	as N		4.65	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
KWP	KWP200922:FM:PS:TS:	Field Msr/Obs	09/22/2020	08:13	1002	Probe/Sensor	HACH CDC401	Temperature, water			25.4	deg C		2550	APHA			
KWP	KWP200922:FM:PS:DO:	Field Msr/Obs	09/22/2020	08:13	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.20	mg/l		8157	HACH			
KWP	KWP200922:FM:PS:DO:	Field Msr/Obs	09/22/2020	08:13	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			92.8	%		8157	HACH			
KWP	KWP200922:FM:WB:	Field Msr/Obs	09/22/2020	08:13	1002	Water Bottle	HACH 2100Q	Turbidity			22.17	NTU		180.1	USEPA			
KWP	KWP200922:FM:PS:PH:	Field Msr/Obs	09/22/2020	08:13	1002	Probe/Sensor	HACH PHC101	pH			8.00	None		8156	HACH			
KWP	KWP200922:FM:PS:TS:	Field Msr/Obs	09/22/2020	08:13	1002	Probe/Sensor	HACH CDC401	Salinity			33.5	ppt		8160	HACH			
