Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
NKN	NKN201103:FM:PS:TS:	Field Msr/Obs	11/03/2020	07:47	1002	Probe/Sensor	HACH CDC401	Temperature, water			27.0	deg C		2550	APHA			
NKN	NKN201103:FM:PS:DO:	Field Msr/Obs	11/03/2020	07:47	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			5.82	mg/l		8157	HACH			
NKN	NKN201103:FM:PS:DO:	Field Msr/Obs	11/03/2020	07:47	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			88.7	%		8157	HACH			
NKN	NKN201103:FM:WB:	Field Msr/Obs	11/03/2020	07:47	1002	Water Bottle	HACH 2100Q	Turbidity			2.28	NTU		180.1	USEPA			
NKN	NKN201103:FM:PS:PH:	Field Msr/Obs	11/03/2020	07:47	1002	Probe/Sensor	HACH PHC101	pH			8.11	None		8156	HACH			
NKN	NKN201103:FM:PS:TS:	Field Msr/Obs	11/03/2020	07:47	1002	Probe/Sensor	HACH CDC401	Salinity			34.9	ppt		8160	HACH			
NKN	NKN201103:SR:WB:	Sample-Routine	11/03/2020	07:47	1002	Water Bottle		Total Nitrogen, mixed forms	as N		131.05	ug/l	Filtered, field	4500-N	APHA			
NKN	NKN201103:SR:WB:	Sample-Routine	11/03/2020	07:47	1002	Water Bottle		Total Phosphorus, mixed forms	as P		10.06	ug/l	Filtered, field	4500-P	APHA			
NKN	NKN201103:SR:WB:	Sample-Routine	11/03/2020	07:47	1002	Water Bottle		Orthophosphate	as P		6.78	ug/l	Filtered, field	365.5	USEPA			
NKN	NKN201103:SR:WB:	Sample-Routine	11/03/2020	07:47	1002	Water Bottle		Silicate			384.98	ug/l	Filtered, field	366	USEPA			
NKN	NKN201103:SR:WB:	Sample-Routine	11/03/2020	07:47	1002	Water Bottle		Nitrate + Nitrite	as N		23.90	ug/l	Filtered, field	353.4	USEPA			
NKN	NKN201103:SR:WB:	Sample-Routine	11/03/2020	07:47	1002	Water Bottle		Ammonium	as N		2.47	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
