Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
RNS	RNS210316:FM:PS:TS:	Field Msr/Obs	03/16/2021	08:14	1002	Probe/Sensor	HACH CDC401	Temperature, water			24.6	deg C		2550	APHA			
RNS	RNS210316:FM:PS:DO:	Field Msr/Obs	03/16/2021	08:14	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.90	mg/l		8157	HACH			
RNS	RNS210316:FM:PS:DO:	Field Msr/Obs	03/16/2021	08:14	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			100.4	%		8157	HACH			
RNS	RNS210316:FM:WB:	Field Msr/Obs	03/16/2021	08:14	1002	Water Bottle	HACH 2100Q	Turbidity			2.13	NTU		180.1	USEPA			
RNS	RNS210316:FM:PS:PH:	Field Msr/Obs	03/16/2021	08:14	1002	Probe/Sensor	HACH PHC101	pH			8.19	None		8156	HACH			
RNS	RNS210316:FM:PS:TS:	Field Msr/Obs	03/16/2021	08:14	1002	Probe/Sensor	HACH CDC401	Salinity			34.8	ppt		8160	HACH			
RNS	RNS210316:SR:WB:	Sample-Routine	03/16/2021	08:14	1002	Water Bottle		Total Nitrogen, mixed forms	as N		94.56	ug/l	Filtered, field	4500-N	APHA			
RNS	RNS210316:SR:WB:	Sample-Routine	03/16/2021	08:14	1002	Water Bottle		Total Phosphorus, mixed forms	as P		8.78	ug/l	Filtered, field	4500-P	APHA			
RNS	RNS210316:SR:WB:	Sample-Routine	03/16/2021	08:14	1002	Water Bottle		Orthophosphate	as P		4.98	ug/l	Filtered, field	365.5	USEPA			
RNS	RNS210316:SR:WB:	Sample-Routine	03/16/2021	08:14	1002	Water Bottle		Silicate			139.06	ug/l	Filtered, field	366	USEPA			
RNS	RNS210316:SR:WB:	Sample-Routine	03/16/2021	08:14	1002	Water Bottle		Nitrate + Nitrite	as N		11.03	ug/l	Filtered, field	353.4	USEPA			
RNS	RNS210316:SR:WB:	Sample-Routine	03/16/2021	08:14	1002	Water Bottle		Ammonium	as N		0.45	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
RPO	RPO210316:FM:PS:TS:	Field Msr/Obs	03/16/2021	08:40	1002	Probe/Sensor	HACH CDC401	Temperature, water			24.4	deg C		2550	APHA			
RPO	RPO210316:FM:PS:DO:	Field Msr/Obs	03/16/2021	08:40	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.98	mg/l		8157	HACH			
