Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
RNS	RNS210406:FM:PS:TS:	Field Msr/Obs	04/06/2021	08:20	1002	Probe/Sensor	HACH CDC401	Temperature, water			23.5	deg C		2550	APHA			
RNS	RNS210406:FM:PS:DO:	Field Msr/Obs	04/06/2021	08:20	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.96	mg/l		8157	HACH			
RNS	RNS210406:FM:PS:DO:	Field Msr/Obs	04/06/2021	08:20	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			99.3	%		8157	HACH			
RNS	RNS210406:FM:WB:	Field Msr/Obs	04/06/2021	08:20	1002	Water Bottle	HACH 2100Q	Turbidity			1.53	NTU		180.1	USEPA			
RNS	RNS210406:FM:PS:PH:	Field Msr/Obs	04/06/2021	08:20	1002	Probe/Sensor	HACH PHC101	pH			8.11	None		8156	HACH			
RNS	RNS210406:FM:PS:TS:	Field Msr/Obs	04/06/2021	08:20	1002	Probe/Sensor	HACH CDC401	Salinity			34.8	ppt		8160	HACH			
RNS	RNS210406:SR:WB:	Sample-Routine	04/06/2021	08:20	1002	Water Bottle		Total Nitrogen, mixed forms	as N		91.65	ug/l	Filtered, field	4500-N	APHA			
RNS	RNS210406:SR:WB:	Sample-Routine	04/06/2021	08:20	1002	Water Bottle		Total Phosphorus, mixed forms	as P		11.38	ug/l	Filtered, field	4500-P	APHA			
RNS	RNS210406:SR:WB:	Sample-Routine	04/06/2021	08:20	1002	Water Bottle		Orthophosphate	as P		8.16	ug/l	Filtered, field	365.5	USEPA			
RNS	RNS210406:SR:WB:	Sample-Routine	04/06/2021	08:20	1002	Water Bottle		Silicate			229.46	ug/l	Filtered, field	366	USEPA			
RNS	RNS210406:SR:WB:	Sample-Routine	04/06/2021	08:20	1002	Water Bottle		Nitrate + Nitrite	as N		11.68	ug/l	Filtered, field	353.4	USEPA			
