Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
NKN	NKN210713:FM:PS:TS:	Field Msr/Obs	07/13/2021	07:55	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			26.7	deg C		2550	APHA			
NKN	NKN210713:FM:PS:DO:	Field Msr/Obs	07/13/2021	07:55	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			5.99	mg/l		8157	HACH			
NKN	NKN210713:FM:PS:DO:	Field Msr/Obs	07/13/2021	07:55	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			84.3	%		8157	HACH			
NKN	NKN210713:FM:WB:	Field Msr/Obs	07/13/2021	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			0.92	NTU		180.1	USEPA			
NKN	NKN210713:FM:PS:PH:	Field Msr/Obs	07/13/2021	07:55	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.09	None		8156	HACH			
NKN	NKN210713:FM:PS:TS:	Field Msr/Obs	07/13/2021	07:55	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			33.7	ppt		8160	HACH			
NKN	NKN210713:SR:WB:	Sample-Routine	07/13/2021	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		177.40	ug/l	Filtered, field	4500-N	APHA			
NKN	NKN210713:SR:WB:	Sample-Routine	07/13/2021	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		9.78	ug/l	Filtered, field	4500-P	APHA			
NKN	NKN210713:SR:WB:	Sample-Routine	07/13/2021	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		8.37	ug/l	Filtered, field	365.5	USEPA			
NKN	NKN210713:SR:WB:	Sample-Routine	07/13/2021	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			1066.43	ug/l	Filtered, field	366	USEPA			
NKN	NKN210713:SR:WB:	Sample-Routine	07/13/2021	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		107.97	ug/l	Filtered, field	353.4	USEPA			
NKN	NKN210713:SR:WB:	Sample-Routine	07/13/2021	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		4.37	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
KWP	KWP210713:FM:PS:TS:	Field Msr/Obs	07/13/2021	08:13	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			26.6	deg C		2550	APHA			
KWP	KWP210713:FM:PS:DO:	Field Msr/Obs	07/13/2021	08:13	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			5.77	mg/l		8157	HACH			
KWP	KWP210713:FM:PS:DO:	Field Msr/Obs	07/13/2021	08:13	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			84.9	%		8157	HACH			
KWP	KWP210713:FM:WB:	Field Msr/Obs	07/13/2021	08:13	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			7.81	NTU		180.1	USEPA			
KWP	KWP210713:FM:PS:PH:	Field Msr/Obs	07/13/2021	08:13	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.07	None		8156	HACH			
KWP	KWP210713:FM:PS:TS:	Field Msr/Obs	07/13/2021	08:13	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			32.7	ppt		8160	HACH			
