Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
RNS	RNS211228:FM:PS:TS:	Field Msr/Obs	12/28/2021	08:25	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			23.1	deg C		2550	APHA			
RNS	RNS211228:FM:PS:DO:	Field Msr/Obs	12/28/2021	08:25	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.93	mg/l		8157	HACH			
RNS	RNS211228:FM:PS:DO:	Field Msr/Obs	12/28/2021	08:25	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			99.4	%		8157	HACH			
RNS	RNS211228:FM:WB:	Field Msr/Obs	12/28/2021	08:25	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			1.05	NTU		180.1	USEPA			
RNS	RNS211228:FM:PS:PH:	Field Msr/Obs	12/28/2021	08:25	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.06	None		8156	HACH			
RNS	RNS211228:FM:PS:TS:	Field Msr/Obs	12/28/2021	08:25	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			35.1	ppt		8160	HACH			
RNS	RNS211228:SR:WB:	Sample-Routine	12/28/2021	08:25	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		81.73	ug/l	Filtered, field	4500-N	APHA			
RNS	RNS211228:SR:WB:	Sample-Routine	12/28/2021	08:25	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		9.96	ug/l	Filtered, field	4500-P	APHA			
RNS	RNS211228:SR:WB:	Sample-Routine	12/28/2021	08:25	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		6.38	ug/l	Filtered, field	365.5	USEPA			
RNS	RNS211228:SR:WB:	Sample-Routine	12/28/2021	08:25	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			384.43	ug/l	Filtered, field	366.0	USEPA			
RNS	RNS211228:SR:WB:	Sample-Routine	12/28/2021	08:25	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		10.81	ug/l	Filtered, field	353.4	USEPA			
RNS	RNS211228:SR:WB:	Sample-Routine	12/28/2021	08:25	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		1.83	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
RPO	RPO211228:FM:PS:TS:	Field Msr/Obs	12/28/2021	09:22	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			23.7	deg C		2550	APHA			
RPO	RPO211228:FM:PS:DO:	Field Msr/Obs	12/28/2021	09:22	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			7.05	mg/l		8157	HACH			
RPO	RPO211228:FM:PS:DO:	Field Msr/Obs	12/28/2021	09:22	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			101.3	%		8157	HACH			
RPO	RPO211228:FM:WB:	Field Msr/Obs	12/28/2021	09:22	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			7.05	NTU		180.1	USEPA			
RPO	RPO211228:FM:PS:PH:	Field Msr/Obs	12/28/2021	09:22	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.13	None		8156	HACH			
RPO	RPO211228:FM:PS:TS:	Field Msr/Obs	12/28/2021	09:22	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			33.7	ppt		8160	HACH			
RPO	RPO211228:SR:WB:	Sample-Routine	12/28/2021	09:22	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		234.62	ug/l	Filtered, field	4500-N	APHA			
RPO	RPO211228:SR:WB:	Sample-Routine	12/28/2021	09:22	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		16.50	ug/l	Filtered, field	4500-P	APHA			
RPO	RPO211228:SR:WB:	Sample-Routine	12/28/2021	09:22	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		16.00	ug/l	Filtered, field	365.5	USEPA			
