Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
RNS	RNS220412:FM:PS:TS:	Field Msr/Obs	04/12/2022	08:08	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			25.0	deg C		2550	APHA			
RNS	RNS220412:FM:PS:DO:	Field Msr/Obs	04/12/2022	08:08	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.85	mg/l		8157	HACH			
RNS	RNS220412:FM:PS:DO:	Field Msr/Obs	04/12/2022	08:08	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			101.0	%		8157	HACH			
RNS	RNS220412:FM:WB:	Field Msr/Obs	04/12/2022	08:08	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			1.08	NTU		180.1	USEPA			
RNS	RNS220412:FM:PS:PH:	Field Msr/Obs	04/12/2022	08:08	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.10	None		8156	HACH			
RNS	RNS220412:FM:PS:TS:	Field Msr/Obs	04/12/2022	08:08	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			34.9	ppt		8160	HACH			
RNS	RNS220412:SR:WB:	Sample-Routine	04/12/2022	08:08	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		109.85	ug/l	Filtered, field	4500-N	APHA			
RNS	RNS220412:SR:WB:	Sample-Routine	04/12/2022	08:08	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		13.68	ug/l	Filtered, field	4500-P	APHA			
RNS	RNS220412:SR:WB:	Sample-Routine	04/12/2022	08:08	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		10.47	ug/l	Filtered, field	365.5	USEPA			
RNS	RNS220412:SR:WB:	Sample-Routine	04/12/2022	08:08	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			650.89	ug/l	Filtered, field	366.0	USEPA			
RNS	RNS220412:SR:WB:	Sample-Routine	04/12/2022	08:08	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		23.13	ug/l	Filtered, field	353.4	USEPA			
RNS	RNS220412:SR:WB:	Sample-Routine	04/12/2022	08:08	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		2.98	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
RPO	RPO220412:FM:PS:TS:	Field Msr/Obs	04/12/2022	08:28	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			24.9	deg C		2550	APHA			
RPO	RPO220412:FM:PS:DO:	Field Msr/Obs	04/12/2022	08:28	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.74	mg/l		8157	HACH			
RPO	RPO220412:FM:PS:DO:	Field Msr/Obs	04/12/2022	08:28	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			98.3	%		8157	HACH			
RPO	RPO220412:FM:WB:	Field Msr/Obs	04/12/2022	08:28	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			3.51	NTU		180.1	USEPA			
RPO	RPO220412:FM:PS:PH:	Field Msr/Obs	04/12/2022	08:28	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.14	None		8156	HACH			
RPO	RPO220412:FM:PS:TS:	Field Msr/Obs	04/12/2022	08:28	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			33.3	ppt		8160	HACH			
RPO	RPO220412:SR:WB:	Sample-Routine	04/12/2022	08:28	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		295.84	ug/l	Filtered, field	4500-N	APHA			
RPO	RPO220412:SR:WB:	Sample-Routine	04/12/2022	08:28	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		13.31	ug/l	Filtered, field	4500-P	APHA			
RPO	RPO220412:SR:WB:	Sample-Routine	04/12/2022	08:28	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		11.44	ug/l	Filtered, field	365.5	USEPA			
RPO	RPO220412:SR:WB:	Sample-Routine	04/12/2022	08:28	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			2039.10	ug/l	Filtered, field	366.0	USEPA			
RPO	RPO220412:SR:WB:	Sample-Routine	04/12/2022	08:28	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		169.17	ug/l	Filtered, field	353.4	USEPA			
RPO	RPO220412:SR:WB:	Sample-Routine	04/12/2022	08:28	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		2.08	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
RKS	RKS220412:FM:PS:TS:	Field Msr/Obs	04/12/2022	08:50	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			25.4	deg C		2550	APHA			
RKS	RKS220412:FM:PS:DO:	Field Msr/Obs	04/12/2022	08:50	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.66	mg/l		8157	HACH			
RKS	RKS220412:FM:PS:DO:	Field Msr/Obs	04/12/2022	08:50	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			99.3	%		8157	HACH			
RKS	RKS220412:FM:WB:	Field Msr/Obs	04/12/2022	08:50	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			2.49	NTU		180.1	USEPA			
RKS	RKS220412:FM:PS:PH:	Field Msr/Obs	04/12/2022	08:50	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.09	None		8156	HACH			
RKS	RKS220412:FM:PS:TS:	Field Msr/Obs	04/12/2022	08:50	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			35.7	ppt		8160	HACH			
RKS	RKS220412:SR:WB:	Sample-Routine	04/12/2022	08:50	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		92.97	ug/l	Filtered, field	4500-N	APHA			
RKS	RKS220412:SR:WB:	Sample-Routine	04/12/2022	08:50	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		6.77	ug/l	Filtered, field	4500-P	APHA			
RKS	RKS220412:SR:WB:	Sample-Routine	04/12/2022	08:50	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		4.20	ug/l	Filtered, field	365.5	USEPA			
RKS	RKS220412:SR:WB:	Sample-Routine	04/12/2022	08:50	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			195.36	ug/l	Filtered, field	366.0	USEPA			
RKS	RKS220412:SR:WB:	Sample-Routine	04/12/2022	08:50	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		4.41	ug/l	Filtered, field	353.4	USEPA			
RKS	RKS220412:SR:WB:	Sample-Routine	04/12/2022	08:50	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		3.77	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
RKT	RKT220412:FM:PS:TS:	Field Msr/Obs	04/12/2022	09:10	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			25.9	deg C		2550	APHA			
RKT	RKT220412:FM:PS:DO:	Field Msr/Obs	04/12/2022	09:10	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.68	mg/l		8157	HACH			
RKT	RKT220412:FM:PS:DO:	Field Msr/Obs	04/12/2022	09:10	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			100.6	%		8157	HACH			
RKT	RKT220412:FM:WB:	Field Msr/Obs	04/12/2022	09:10	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			2.66	NTU		180.1	USEPA			
RKT	RKT220412:FM:PS:PH:	Field Msr/Obs	04/12/2022	09:10	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.14	None		8156	HACH			
RKT	RKT220412:FM:PS:TS:	Field Msr/Obs	04/12/2022	09:10	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			35.9	ppt		8160	HACH			
RKT	RKT220412:SR:WB:	Sample-Routine	04/12/2022	09:10	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		81.23	ug/l	Filtered, field	4500-N	APHA			
RKT	RKT220412:SR:WB:	Sample-Routine	04/12/2022	09:10	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		7.51	ug/l	Filtered, field	4500-P	APHA			
RKT	RKT220412:SR:WB:	Sample-Routine	04/12/2022	09:10	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		3.60	ug/l	Filtered, field	365.5	USEPA			
RKT	RKT220412:SR:WB:	Sample-Routine	04/12/2022	09:10	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			275.83	ug/l	Filtered, field	366.0	USEPA			
RKT	RKT220412:SR:WB:	Sample-Routine	04/12/2022	09:10	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		2.52	ug/l	Filtered, field	353.4	USEPA			
RKT	RKT220412:SR:WB:	Sample-Routine	04/12/2022	09:10	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		1.77	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
RCB	RCB220412:FM:PS:TS:	Field Msr/Obs	04/12/2022	09:33	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			25.9	deg C		2550	APHA			
RCB	RCB220412:FM:PS:DO:	Field Msr/Obs	04/12/2022	09:33	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.63	mg/l		8157	HACH			
RCB	RCB220412:FM:PS:DO:	Field Msr/Obs	04/12/2022	09:33	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			99.7	%		8157	HACH			
RCB	RCB220412:FM:WB:	Field Msr/Obs	04/12/2022	09:33	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			10.43	NTU		180.1	USEPA			
RCB	RCB220412:FM:PS:PH:	Field Msr/Obs	04/12/2022	09:33	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.16	None		8156	HACH			
RCB	RCB220412:FM:PS:TS:	Field Msr/Obs	04/12/2022	09:33	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			35.1	ppt		8160	HACH			
RCB	RCB220412:SR:WB:	Sample-Routine	04/12/2022	09:33	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		138.98	ug/l	Filtered, field	4500-N	APHA			
RCB	RCB220412:SR:WB:	Sample-Routine	04/12/2022	09:33	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		10.99	ug/l	Filtered, field	4500-P	APHA			
RCB	RCB220412:SR:WB:	Sample-Routine	04/12/2022	09:33	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		7.46	ug/l	Filtered, field	365.5	USEPA			
RCB	RCB220412:SR:WB:	Sample-Routine	04/12/2022	09:33	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			625.13	ug/l	Filtered, field	366.0	USEPA			
RCB	RCB220412:SR:WB:	Sample-Routine	04/12/2022	09:33	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		53.04	ug/l	Filtered, field	353.4	USEPA			
RCB	RCB220412:SR:WB:	Sample-Routine	04/12/2022	09:33	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		4.08	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
RWA	RWA220412:FM:PS:TS:	Field Msr/Obs	04/12/2022	09:50	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			26.0	deg C		2550	APHA			
RWA	RWA220412:FM:PS:DO:	Field Msr/Obs	04/12/2022	09:50	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.70	mg/l		8157	HACH			
RWA	RWA220412:FM:PS:DO:	Field Msr/Obs	04/12/2022	09:50	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			100.7	%		8157	HACH			
RWA	RWA220412:FM:WB:	Field Msr/Obs	04/12/2022	09:50	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			2.61	NTU		180.1	USEPA			
RWA	RWA220412:FM:PS:PH:	Field Msr/Obs	04/12/2022	09:50	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.16	None		8156	HACH			
RWA	RWA220412:FM:PS:TS:	Field Msr/Obs	04/12/2022	09:50	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			35.2	ppt		8160	HACH			
RWA	RWA220412:SR:WB:	Sample-Routine	04/12/2022	09:50	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		90.97	ug/l	Filtered, field	4500-N	APHA			
RWA	RWA220412:SR:WB:	Sample-Routine	04/12/2022	09:50	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		12.98	ug/l	Filtered, field	4500-P	APHA			
RWA	RWA220412:SR:WB:	Sample-Routine	04/12/2022	09:50	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		10.06	ug/l	Filtered, field	365.5	USEPA			
RWA	RWA220412:SR:WB:	Sample-Routine	04/12/2022	09:50	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			961.94	ug/l	Filtered, field	366.0	USEPA			
RWA	RWA220412:SR:WB:	Sample-Routine	04/12/2022	09:50	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		17.53	ug/l	Filtered, field	353.4	USEPA			
RWA	RWA220412:SR:WB:	Sample-Routine	04/12/2022	09:50	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		1.89	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
PFF	PFF220413:FM:PS:TS:	Field Msr/Obs	04/13/2022	08:09	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			25.5	deg C		2550	APHA			
PFF	PFF220413:FM:PS:DO:	Field Msr/Obs	04/13/2022	08:09	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.25	mg/l		8157	HACH			
PFF	PFF220413:FM:PS:DO:	Field Msr/Obs	04/13/2022	08:09	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			92.9	%		8157	HACH			
PFF	PFF220413:FM:WB:	Field Msr/Obs	04/13/2022	08:09	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			6.77	NTU		180.1	USEPA			
PFF	PFF220413:FM:PS:PH:	Field Msr/Obs	04/13/2022	08:09	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.04	None		8156	HACH			
PFF	PFF220413:FM:PS:TS:	Field Msr/Obs	04/13/2022	08:09	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			34.8	ppt		8160	HACH			
PFF	PFF220413:SR:WB:	Sample-Routine	04/13/2022	08:09	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		85.84	ug/l	Filtered, field	4500-N	APHA			
PFF	PFF220413:SR:WB:	Sample-Routine	04/13/2022	08:09	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		10.12	ug/l	Filtered, field	4500-P	APHA			
PFF	PFF220413:SR:WB:	Sample-Routine	04/13/2022	08:09	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		8.96	ug/l	Filtered, field	365.5	USEPA			
PFF	PFF220413:SR:WB:	Sample-Routine	04/13/2022	08:09	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			821.36	ug/l	Filtered, field	366.0	USEPA			
PFF	PFF220413:SR:WB:	Sample-Routine	04/13/2022	08:09	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		5.51	ug/l	Filtered, field	353.4	USEPA			
PFF	PFF220413:SR:WB:	Sample-Routine	04/13/2022	08:09	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		3.73	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
PLH	PLH220413:FM:PS:TS:	Field Msr/Obs	04/13/2022	08:32	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			25.6	deg C		2550	APHA			
