Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
RNS	RNS220816:FM:PS:TS:	Field Msr/Obs	08/16/2022	08:10	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			26.8	deg C		2550	APHA			
RNS	RNS220816:FM:PS:DO:	Field Msr/Obs	08/16/2022	08:10	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.57	mg/l		8157	HACH			
RNS	RNS220816:FM:PS:DO:	Field Msr/Obs	08/16/2022	08:10	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			100.0	%		8157	HACH			
RNS	RNS220816:FM:WB:	Field Msr/Obs	08/16/2022	08:10	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			1.99	NTU		180.1	USEPA			
RNS	RNS220816:FM:PS:PH:	Field Msr/Obs	08/16/2022	08:10	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.15	None		8156	HACH			
RNS	RNS220816:FM:PS:TS:	Field Msr/Obs	08/16/2022	08:10	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			35.2	ppt		8160	HACH			
RNS	RNS220816:SR:WB:	Sample-Routine	08/16/2022	08:10	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		108.72	ug/l	Filtered, field	4500-N	APHA			
RNS	RNS220816:SR:WB:	Sample-Routine	08/16/2022	08:10	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		9.75	ug/l	Filtered, field	4500-P	APHA			
RNS	RNS220816:SR:WB:	Sample-Routine	08/16/2022	08:10	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		6.84	ug/l	Filtered, field	365.5	USEPA			
RNS	RNS220816:SR:WB:	Sample-Routine	08/16/2022	08:10	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			352.99	ug/l	Filtered, field	366.0	USEPA			
RNS	RNS220816:SR:WB:	Sample-Routine	08/16/2022	08:10	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		15.93	ug/l	Filtered, field	353.4	USEPA			
RNS	RNS220816:SR:WB:	Sample-Routine	08/16/2022	08:10	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		3.61	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
RPO	RPO220816:FM:PS:TS:	Field Msr/Obs	08/16/2022	08:30	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			26.9	deg C		2550	APHA			
RPO	RPO220816:FM:PS:DO:	Field Msr/Obs	08/16/2022	08:30	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.15	mg/l		8157	HACH			
RPO	RPO220816:FM:PS:DO:	Field Msr/Obs	08/16/2022	08:30	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			93.4	%		8157	HACH			
RPO	RPO220816:FM:WB:	Field Msr/Obs	08/16/2022	08:30	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			1.60	NTU		180.1	USEPA			
RPO	RPO220816:FM:PS:PH:	Field Msr/Obs	08/16/2022	08:30	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.14	None		8156	HACH			
RPO	RPO220816:FM:PS:TS:	Field Msr/Obs	08/16/2022	08:30	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			34.8	ppt		8160	HACH			
RPO	RPO220816:SR:WB:	Sample-Routine	08/16/2022	08:30	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		196.15	ug/l	Filtered, field	4500-N	APHA			
RPO	RPO220816:SR:WB:	Sample-Routine	08/16/2022	08:30	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		10.45	ug/l	Filtered, field	4500-P	APHA			
RPO	RPO220816:SR:WB:	Sample-Routine	08/16/2022	08:30	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		8.03	ug/l	Filtered, field	365.5	USEPA			
RPO	RPO220816:SR:WB:	Sample-Routine	08/16/2022	08:30	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			648.25	ug/l	Filtered, field	366.0	USEPA			
RPO	RPO220816:SR:WB:	Sample-Routine	08/16/2022	08:30	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		97.42	ug/l	Filtered, field	353.4	USEPA			
RPO	RPO220816:SR:WB:	Sample-Routine	08/16/2022	08:30	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		3.76	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
RKS	RKS220816:FM:PS:TS:	Field Msr/Obs	08/16/2022	08:51	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			26.9	deg C		2550	APHA			
RKS	RKS220816:FM:PS:DO:	Field Msr/Obs	08/16/2022	08:51	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.23	mg/l		8157	HACH			
RKS	RKS220816:FM:PS:DO:	Field Msr/Obs	08/16/2022	08:51	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			94.8	%		8157	HACH			
RKS	RKS220816:FM:WB:	Field Msr/Obs	08/16/2022	08:51	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			2.40	NTU		180.1	USEPA			
RKS	RKS220816:FM:PS:PH:	Field Msr/Obs	08/16/2022	08:51	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.07	None		8156	HACH			
RKS	RKS220816:FM:PS:TS:	Field Msr/Obs	08/16/2022	08:51	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			35.3	ppt		8160	HACH			
RKS	RKS220816:SR:WB:	Sample-Routine	08/16/2022	08:51	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		97.87	ug/l	Filtered, field	4500-N	APHA			
RKS	RKS220816:SR:WB:	Sample-Routine	08/16/2022	08:51	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		7.51	ug/l	Filtered, field	4500-P	APHA			
RKS	RKS220816:SR:WB:	Sample-Routine	08/16/2022	08:51	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		4.52	ug/l	Filtered, field	365.5	USEPA			
RKS	RKS220816:SR:WB:	Sample-Routine	08/16/2022	08:51	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			205.51	ug/l	Filtered, field	366.0	USEPA			
RKS	RKS220816:SR:WB:	Sample-Routine	08/16/2022	08:51	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		8.48	ug/l	Filtered, field	353.4	USEPA			
RKS	RKS220816:SR:WB:	Sample-Routine	08/16/2022	08:51	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		2.94	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
