Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
NKN	NKN221004:FM:PS:TS:	Field Msr/Obs	10/04/2022	07:53	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			25.3	deg C		2550	APHA			
NKN	NKN221004:FM:PS:DO:	Field Msr/Obs	10/04/2022	07:53	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.67	mg/l		8157	HACH			
NKN	NKN221004:FM:PS:DO:	Field Msr/Obs	10/04/2022	07:53	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			97.3	%		8157	HACH			
NKN	NKN221004:FM:WB:	Field Msr/Obs	10/04/2022	07:53	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			10.97	NTU		180.1	USEPA			
NKN	NKN221004:FM:PS:PH:	Field Msr/Obs	10/04/2022	07:53	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.11	None		8156	HACH			
NKN	NKN221004:FM:PS:TS:	Field Msr/Obs	10/04/2022	07:53	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			31.4	ppt		8160	HACH			
NKN	NKN221004:SR:WB:	Sample-Routine	10/04/2022	07:53	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		346.61	ug/l	Filtered, field	4500-N	APHA			
NKN	NKN221004:SR:WB:	Sample-Routine	10/04/2022	07:53	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		15.26	ug/l	Filtered, field	4500-P	APHA			
NKN	NKN221004:SR:WB:	Sample-Routine	10/04/2022	07:53	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		7.09	ug/l	Filtered, field	365.5	USEPA			
NKN	NKN221004:SR:WB:	Sample-Routine	10/04/2022	07:53	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			3862.71	ug/l	Filtered, field	366.0	USEPA			
NKN	NKN221004:SR:WB:	Sample-Routine	10/04/2022	07:53	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		231.77	ug/l	Filtered, field	353.4	USEPA			
NKN	NKN221004:SR:WB:	Sample-Routine	10/04/2022	07:53	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		3.51	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
KWP	KWP221004:FM:PS:TS:	Field Msr/Obs	10/04/2022	08:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			24.9	deg C		2550	APHA			
KWP	KWP221004:FM:PS:DO:	Field Msr/Obs	10/04/2022	08:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.44	mg/l		8157	HACH			
KWP	KWP221004:FM:PS:DO:	Field Msr/Obs	10/04/2022	08:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			93.4	%		8157	HACH			
KWP	KWP221004:FM:WB:	Field Msr/Obs	10/04/2022	08:15	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			19.80	NTU		180.1	USEPA			
KWP	KWP221004:FM:PS:PH:	Field Msr/Obs	10/04/2022	08:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.11	None		8156	HACH			
KWP	KWP221004:FM:PS:TS:	Field Msr/Obs	10/04/2022	08:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			32.4	ppt		8160	HACH			
KWP	KWP221004:SR:WB:	Sample-Routine	10/04/2022	08:15	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		254.18	ug/l	Filtered, field	4500-N	APHA			
