Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
KCP	KCP230104:FM:PS:TS:	Field Msr/Obs	01/04/2023	07:55	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			24.1	deg C		2550	APHA			
KCP	KCP230104:FM:PS:DO:	Field Msr/Obs	01/04/2023	07:55	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.62	mg/l		8157	HACH			
KCP	KCP230104:FM:PS:DO:	Field Msr/Obs	01/04/2023	07:55	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			94.4	%		8157	HACH			
KCP	KCP230104:FM:WB:	Field Msr/Obs	01/04/2023	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			3.21	NTU		180.1	USEPA			
KCP	KCP230104:FM:PS:PH:	Field Msr/Obs	01/04/2023	07:55	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.08	None		8156	HACH			
KCP	KCP230104:FM:PS:TS:	Field Msr/Obs	01/04/2023	07:55	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			32.5	ppt		8160	HACH			
KCP	KCP230104:SR:WB:	Sample-Routine	01/04/2023	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		805.55	ug/l	Filtered, field	4500-N	APHA			
KCP	KCP230104:SR:WB:	Sample-Routine	01/04/2023	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		30.31	ug/l	Filtered, field	4500-P	APHA			
KCP	KCP230104:SR:WB:	Sample-Routine	01/04/2023	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		27.48	ug/l	Filtered, field	365.5	USEPA			
KCP	KCP230104:SR:WB:	Sample-Routine	01/04/2023	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			2179.90	ug/l	Filtered, field	366.0	USEPA			
KCP	KCP230104:SR:WB:	Sample-Routine	01/04/2023	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		418.00	ug/l	Filtered, field	353.4	USEPA			
KCP	KCP230104:SR:WB:	Sample-Routine	01/04/2023	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		11.55	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
MMB	MMB230104:FM:PS:TS:	Field Msr/Obs	01/04/2023	08:40	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			24.9	deg C		2550	APHA			
MMB	MMB230104:FM:PS:DO:	Field Msr/Obs	01/04/2023	08:40	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.82	mg/l		8157	HACH			
MMB	MMB230104:FM:PS:DO:	Field Msr/Obs	01/04/2023	08:40	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			100.6	%		8157	HACH			
MMB	MMB230104:FM:WB:	Field Msr/Obs	01/04/2023	08:40	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			2.31	NTU		180.1	USEPA			
MMB	MMB230104:FM:PS:PH:	Field Msr/Obs	01/04/2023	08:40	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.15	None		8156	HACH			
MMB	MMB230104:FM:PS:TS:	Field Msr/Obs	01/04/2023	08:40	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			35.2	ppt		8160	HACH			
MMB	MMB230104:SR:WB:	Sample-Routine	01/04/2023	08:40	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		115.53	ug/l	Filtered, field	4500-N	APHA			
MMB	MMB230104:SR:WB:	Sample-Routine	01/04/2023	08:40	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		12.42	ug/l	Filtered, field	4500-P	APHA			
MMB	MMB230104:SR:WB:	Sample-Routine	01/04/2023	08:40	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		6.88	ug/l	Filtered, field	365.5	USEPA			
MMB	MMB230104:SR:WB:	Sample-Routine	01/04/2023	08:40	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			239.21	ug/l	Filtered, field	366.0	USEPA			
MMB	MMB230104:SR:WB:	Sample-Routine	01/04/2023	08:40	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		9.98	ug/l	Filtered, field	353.4	USEPA			
MMB	MMB230104:SR:WB:	Sample-Routine	01/04/2023	08:40	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		3.22	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
MAN	MAN230104:FM:PS:TS:	Field Msr/Obs	01/04/2023	09:04	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			25.0	deg C		2550	APHA			
MAN	MAN230104:FM:PS:DO:	Field Msr/Obs	01/04/2023	09:04	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			7.14	mg/l		8157	HACH			
MAN	MAN230104:FM:PS:DO:	Field Msr/Obs	01/04/2023	09:04	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			105.0	%		8157	HACH			
MAN	MAN230104:FM:WB:	Field Msr/Obs	01/04/2023	09:04	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			1.23	NTU		180.1	USEPA			
MAN	MAN230104:FM:PS:PH:	Field Msr/Obs	01/04/2023	09:04	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.09	None		8156	HACH			
MAN	MAN230104:FM:PS:TS:	Field Msr/Obs	01/04/2023	09:04	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			34.9	ppt		8160	HACH			
MAN	MAN230104:SR:WB:	Sample-Routine	01/04/2023	09:04	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		90.32	ug/l	Filtered, field	4500-N	APHA			
MAN	MAN230104:SR:WB:	Sample-Routine	01/04/2023	09:04	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		10.44	ug/l	Filtered, field	4500-P	APHA			
MAN	MAN230104:SR:WB:	Sample-Routine	01/04/2023	09:04	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		7.25	ug/l	Filtered, field	365.5	USEPA			
MAN	MAN230104:SR:WB:	Sample-Routine	01/04/2023	09:04	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			299.46	ug/l	Filtered, field	366.0	USEPA			
MAN	MAN230104:SR:WB:	Sample-Routine	01/04/2023	09:04	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		9.94	ug/l	Filtered, field	353.4	USEPA			
MAN	MAN230104:SR:WB:	Sample-Routine	01/04/2023	09:04	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		2.91	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
MAS	MAS230104:FM:PS:TS:	Field Msr/Obs	01/04/2023	09:20	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			24.8	deg C		2550	APHA			
MAS	MAS230104:FM:PS:DO:	Field Msr/Obs	01/04/2023	09:20	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.64	mg/l		8157	HACH			
MAS	MAS230104:FM:PS:DO:	Field Msr/Obs	01/04/2023	09:20	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			97.0	%		8157	HACH			
MAS	MAS230104:FM:WB:	Field Msr/Obs	01/04/2023	09:20	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			1.97	NTU		180.1	USEPA			
MAS	MAS230104:FM:PS:PH:	Field Msr/Obs	01/04/2023	09:20	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.04	None		8156	HACH			
MAS	MAS230104:FM:PS:TS:	Field Msr/Obs	01/04/2023	09:20	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			34.1	ppt		8160	HACH			
MAS	MAS230104:SR:WB:	Sample-Routine	01/04/2023	09:20	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		118.98	ug/l	Filtered, field	4500-N	APHA			
MAS	MAS230104:SR:WB:	Sample-Routine	01/04/2023	09:20	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		14.83	ug/l	Filtered, field	4500-P	APHA			
MAS	MAS230104:SR:WB:	Sample-Routine	01/04/2023	09:20	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		12.98	ug/l	Filtered, field	365.5	USEPA			
MAS	MAS230104:SR:WB:	Sample-Routine	01/04/2023	09:20	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			1005.30	ug/l	Filtered, field	366.0	USEPA			
MAS	MAS230104:SR:WB:	Sample-Routine	01/04/2023	09:20	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		51.91	ug/l	Filtered, field	353.4	USEPA			
MAS	MAS230104:SR:WB:	Sample-Routine	01/04/2023	09:20	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		6.81	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
NMH	NMH230105:FM:PS:TS:	Field Msr/Obs	01/05/2023	07:54	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			24.6	deg C		2550	APHA			
NMH	NMH230105:FM:PS:DO:	Field Msr/Obs	01/05/2023	07:54	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.40	mg/l		8157	HACH			
NMH	NMH230105:FM:PS:DO:	Field Msr/Obs	01/05/2023	07:54	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			93.7	%		8157	HACH			
NMH	NMH230105:FM:WB:	Field Msr/Obs	01/05/2023	07:54	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			0.92	NTU		180.1	USEPA			
NMH	NMH230105:FM:PS:PH:	Field Msr/Obs	01/05/2023	07:54	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.15	None		8156	HACH			
NMH	NMH230105:FM:PS:TS:	Field Msr/Obs	01/05/2023	07:54	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			34.9	ppt		8160	HACH			
NMH	NMH230105:SR:WB:	Sample-Routine	01/05/2023	07:54	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		134.45	ug/l	Filtered, field	4500-N	APHA			
NMH	NMH230105:SR:WB:	Sample-Routine	01/05/2023	07:54	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		12.35	ug/l	Filtered, field	4500-P	APHA			
NMH	NMH230105:SR:WB:	Sample-Routine	01/05/2023	07:54	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		6.36	ug/l	Filtered, field	365.5	USEPA			
NMH	NMH230105:SR:WB:	Sample-Routine	01/05/2023	07:54	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			347.23	ug/l	Filtered, field	366.0	USEPA			
NMH	NMH230105:SR:WB:	Sample-Routine	01/05/2023	07:54	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		33.70	ug/l	Filtered, field	353.4	USEPA			
NMH	NMH230105:SR:WB:	Sample-Routine	01/05/2023	07:54	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		8.99	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
NMC	NMC230105:FM:PS:TS:	Field Msr/Obs	01/05/2023	08:13	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			24.6	deg C		2550	APHA			
NMC	NMC230105:FM:PS:DO:	Field Msr/Obs	01/05/2023	08:13	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.58	mg/l		8157	HACH			
NMC	NMC230105:FM:PS:DO:	Field Msr/Obs	01/05/2023	08:13	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			96.4	%		8157	HACH			
NMC	NMC230105:FM:WB:	Field Msr/Obs	01/05/2023	08:13	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			4.26	NTU		180.1	USEPA			
NMC	NMC230105:FM:PS:PH:	Field Msr/Obs	01/05/2023	08:13	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.06	None		8156	HACH			
