Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
RNS	RNS230321:FM:PS:TS:	Field Msr/Obs	03/21/2023	08:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			24.6	deg C		2550	APHA			
RNS	RNS230321:FM:PS:DO:	Field Msr/Obs	03/21/2023	08:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.94	mg/l		8157	HACH			
RNS	RNS230321:FM:PS:DO:	Field Msr/Obs	03/21/2023	08:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			102.4	%		8157	HACH			
RNS	RNS230321:FM:WB:	Field Msr/Obs	03/21/2023	08:15	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			1.30	NTU		180.1	USEPA			
RNS	RNS230321:FM:PS:PH:	Field Msr/Obs	03/21/2023	08:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.18	None		8156	HACH			
RNS	RNS230321:FM:PS:TS:	Field Msr/Obs	03/21/2023	08:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			36.8	ppt		8160	HACH			
RNS	RNS230321:SR:WB:	Sample-Routine	03/21/2023	08:15	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		145.82	ug/l	Filtered, field	4500-N	APHA			
RNS	RNS230321:SR:WB:	Sample-Routine	03/21/2023	08:15	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		16.92	ug/l	Filtered, field	4500-P	APHA			
RNS	RNS230321:SR:WB:	Sample-Routine	03/21/2023	08:15	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		7.17	ug/l	Filtered, field	365.5	USEPA			
RNS	RNS230321:SR:WB:	Sample-Routine	03/21/2023	08:15	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			238.08	ug/l	Filtered, field	366.0	USEPA			
RNS	RNS230321:SR:WB:	Sample-Routine	03/21/2023	08:15	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		9.14	ug/l	Filtered, field	353.4	USEPA			
