Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
NKN	NKN230509:FM:PS:TS:	Field Msr/Obs	05/09/2023	08:46	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			26.0	deg C		2550	APHA			
NKN	NKN230509:FM:PS:DO:	Field Msr/Obs	05/09/2023	08:46	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			5.86	mg/l		8157	HACH			
NKN	NKN230509:FM:PS:DO:	Field Msr/Obs	05/09/2023	08:46	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			87.4	%		8157	HACH			
NKN	NKN230509:FM:WB:	Field Msr/Obs	05/09/2023	08:46	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			17.07	NTU		180.1	USEPA			
NKN	NKN230509:FM:PS:PH:	Field Msr/Obs	05/09/2023	08:46	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.10	None		8156	HACH			
NKN	NKN230509:FM:PS:TS:	Field Msr/Obs	05/09/2023	08:46	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			33.0	ppt		8160	HACH			
NKN	NKN230509:SR:WB:	Sample-Routine	05/09/2023	08:46	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		187.62	ug/l	Filtered, field	4500-N	APHA			
NKN	NKN230509:SR:WB:	Sample-Routine	05/09/2023	08:46	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		12.55	ug/l	Filtered, field	4500-P	APHA			
NKN	NKN230509:SR:WB:	Sample-Routine	05/09/2023	08:46	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		8.18	ug/l	Filtered, field	365.5	USEPA			
NKN	NKN230509:SR:WB:	Sample-Routine	05/09/2023	08:46	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			1340.62	ug/l	Filtered, field	366.0	USEPA			
