Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
RNS	RNS240625:FM:PS:DO:	Field Msr/Obs	06/25/2024	08:29	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			7.49	mg/l		8157	HACH			
RNS	RNS240625:FM:PS:DO:	Field Msr/Obs	06/25/2024	08:29	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			97.6	%		8157	HACH			
RNS	RNS240625:FM:WB:	Field Msr/Obs	06/25/2024	08:29	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			1.32	NTU		180.1	USEPA			
RNS	RNS240625:FM:PS:TS:	Field Msr/Obs	06/25/2024	08:29	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			34.8	ppt		8160	HACH			
RNS	RNS240625:SR:WB:	Sample-Routine	06/25/2024	08:29	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		95.22	ug/l	Filtered, field	4500-N	APHA			
RNS	RNS240625:SR:WB:	Sample-Routine	06/25/2024	08:29	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		11.37	ug/l	Filtered, field	4500-P	APHA			
RNS	RNS240625:SR:WB:	Sample-Routine	06/25/2024	08:29	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		7.62	ug/l	Filtered, field	365.5	USEPA			
RNS	RNS240625:SR:WB:	Sample-Routine	06/25/2024	08:29	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			571.80	ug/l	Filtered, field	366.0	USEPA			
RNS	RNS240625:SR:WB:	Sample-Routine	06/25/2024	08:29	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		24.67	ug/l	Filtered, field	353.4	USEPA			
RNS	RNS240625:SR:WB:	Sample-Routine	06/25/2024	08:29	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		1.50	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
