Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
LMT	LMT240223:FM:PS:TS:	Field Msr/Obs	02/23/2024	07:49	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			23.9	deg C		2550	APHA			
LMT	LMT240223:FM:PS:DO:	Field Msr/Obs	02/23/2024	07:49	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			7.31	mg/l		8157	HACH			
LMT	LMT240223:FM:PS:DO:	Field Msr/Obs	02/23/2024	07:49	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			100.1	%		8157	HACH			
LMT	LMT240223:FM:WB:	Field Msr/Obs	02/23/2024	07:49	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			2.42	NTU		180.1	USEPA			
LMT	LMT240223:FM:PS:PH:	Field Msr/Obs	02/23/2024	07:49	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.01	None		8156	HACH			
LMT	LMT240223:SR:WB:	Sample-Routine	02/23/2024	07:49	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		161.60	ug/l	Filtered, field	4500-N	APHA			
LMT	LMT240223:SR:WB:	Sample-Routine	02/23/2024	07:49	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		10.60	ug/l	Filtered, field	4500-P	APHA			
LMT	LMT240223:SR:WB:	Sample-Routine	02/23/2024	07:49	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		3.24	ug/l	Filtered, field	365.5	USEPA			
LMT	LMT240223:SR:WB:	Sample-Routine	02/23/2024	07:49	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			241.65	ug/l	Filtered, field	366.0	USEPA			
LMT	LMT240223:SR:WB:	Sample-Routine	02/23/2024	07:49	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		15.92	ug/l	Filtered, field	353.4	USEPA			
LMT	LMT240223:SR:WB:	Sample-Routine	02/23/2024	07:49	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		56.77	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
LMR	LMR240223:FM:PS:TS:	Field Msr/Obs	02/23/2024	08:13	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			24.0	deg C		2550	APHA			
LMR	LMR240223:FM:PS:DO:	Field Msr/Obs	02/23/2024	08:13	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			7.11	mg/l		8157	HACH			
LMR	LMR240223:FM:PS:DO:	Field Msr/Obs	02/23/2024	08:13	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			97.6	%		8157	HACH			
LMR	LMR240223:FM:WB:	Field Msr/Obs	02/23/2024	08:13	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			4.10	NTU		180.1	USEPA			
LMR	LMR240223:FM:PS:PH:	Field Msr/Obs	02/23/2024	08:13	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			7.97	None		8156	HACH			
LMR	LMR240223:SR:WB:	Sample-Routine	02/23/2024	08:13	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		199.51	ug/l	Filtered, field	4500-N	APHA			
LMR	LMR240223:SR:WB:	Sample-Routine	02/23/2024	08:13	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		10.55	ug/l	Filtered, field	4500-P	APHA			
LMR	LMR240223:SR:WB:	Sample-Routine	02/23/2024	08:13	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		8.34	ug/l	Filtered, field	365.5	USEPA			
LMR	LMR240223:SR:WB:	Sample-Routine	02/23/2024	08:13	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			2168.80	ug/l	Filtered, field	366.0	USEPA			
LMR	LMR240223:SR:WB:	Sample-Routine	02/23/2024	08:13	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		25.56	ug/l	Filtered, field	353.4	USEPA			
