Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
NKN	NKN241231:FM:PS:TS:	Field Msr/Obs	12/31/2024	08:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			24.4	deg C		2550	APHA			
NKN	NKN241231:FM:PS:DO:	Field Msr/Obs	12/31/2024	08:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.32	mg/l		8157	HACH			
NKN	NKN241231:FM:PS:DO:	Field Msr/Obs	12/31/2024	08:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			91.5	%		8157	HACH			
NKN	NKN241231:FM:WB:	Field Msr/Obs	12/31/2024	08:15	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			1.67	NTU		180.1	USEPA			
NKN	NKN241231:FM:PS:PH:	Field Msr/Obs	12/31/2024	08:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.14	None		8156	HACH			
NKN	NKN241231:FM:PS:TS:	Field Msr/Obs	12/31/2024	08:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			35.8	ppt		8160	HACH			
NKN	NKN241231:SR:WB:	Sample-Routine	12/31/2024	08:15	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		117.84	ug/l	Filtered, field	4500-N	APHA			
NKN	NKN241231:SR:WB:	Sample-Routine	12/31/2024	08:15	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		11.99	ug/l	Filtered, field	4500-P	APHA			
NKN	NKN241231:SR:WB:	Sample-Routine	12/31/2024	08:15	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		7.48	ug/l	Filtered, field	365.5	USEPA			
NKN	NKN241231:SR:WB:	Sample-Routine	12/31/2024	08:15	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			368.32	ug/l	Filtered, field	366.0	USEPA			
NKN	NKN241231:SR:WB:	Sample-Routine	12/31/2024	08:15	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		23.74	ug/l	Filtered, field	353.4	USEPA			
NKN	NKN241231:SR:WB:	Sample-Routine	12/31/2024	08:15	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		6.17	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
KWP	KWP241231:FM:PS:TS:	Field Msr/Obs	12/31/2024	08:36	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			23.7	deg C		2550	APHA			
KWP	KWP241231:FM:PS:DO:	Field Msr/Obs	12/31/2024	08:36	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.40	mg/l		8157	HACH			
KWP	KWP241231:FM:PS:DO:	Field Msr/Obs	12/31/2024	08:36	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			91.4	%		8157	HACH			
KWP	KWP241231:FM:WB:	Field Msr/Obs	12/31/2024	08:36	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			12.17	NTU		180.1	USEPA			
KWP	KWP241231:FM:PS:PH:	Field Msr/Obs	12/31/2024	08:36	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.10	None		8156	HACH			
KWP	KWP241231:FM:PS:TS:	Field Msr/Obs	12/31/2024	08:36	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			35.0	ppt		8160	HACH			
KWP	KWP241231:SR:WB:	Sample-Routine	12/31/2024	08:36	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		128.92	ug/l	Filtered, field	4500-N	APHA			
KWP	KWP241231:SR:WB:	Sample-Routine	12/31/2024	08:36	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		15.49	ug/l	Filtered, field	4500-P	APHA			
KWP	KWP241231:SR:WB:	Sample-Routine	12/31/2024	08:36	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		12.46	ug/l	Filtered, field	365.5	USEPA			
