Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
RNS	RNS250401:FM:PS:TS:	Field Msr/Obs	04/01/2025	08:20	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			25.0	deg C		2550	APHA			
RNS	RNS250401:FM:PS:DO:	Field Msr/Obs	04/01/2025	08:20	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			7.00	mg/l		8157	HACH			
RNS	RNS250401:FM:PS:DO:	Field Msr/Obs	04/01/2025	08:20	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			103.0	%		8157	HACH			
RNS	RNS250401:FM:WB:	Field Msr/Obs	04/01/2025	08:20	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			1.32	NTU		180.1	USEPA			
RNS	RNS250401:FM:PS:PH:	Field Msr/Obs	04/01/2025	08:20	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.06	None		8156	HACH			
RNS	RNS250401:FM:PS:TS:	Field Msr/Obs	04/01/2025	08:20	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			35.7	ppt		8160	HACH			
RNS	RNS250401:SR:WB:	Sample-Routine	04/01/2025	08:20	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		191.77	ug/l	Filtered, field	4500-N	APHA			
RNS	RNS250401:SR:WB:	Sample-Routine	04/01/2025	08:20	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		19.80	ug/l	Filtered, field	4500-P	APHA			
RNS	RNS250401:SR:WB:	Sample-Routine	04/01/2025	08:20	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		12.77	ug/l	Filtered, field	365.5	USEPA			
RNS	RNS250401:SR:WB:	Sample-Routine	04/01/2025	08:20	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			438.00	ug/l	Filtered, field	366.0	USEPA			
RNS	RNS250401:SR:WB:	Sample-Routine	04/01/2025	08:20	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		19.71	ug/l	Filtered, field	353.4	USEPA			
RNS	RNS250401:SR:WB:	Sample-Routine	04/01/2025	08:20	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		5.50	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
RPO	RPO250401:FM:PS:TS:	Field Msr/Obs	04/01/2025	08:51	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			25.2	deg C		2550	APHA			
RPO	RPO250401:FM:PS:DO:	Field Msr/Obs	04/01/2025	08:51	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.82	mg/l		8157	HACH			
RPO	RPO250401:FM:PS:DO:	Field Msr/Obs	04/01/2025	08:51	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			100.0	%		8157	HACH			
RPO	RPO250401:FM:WB:	Field Msr/Obs	04/01/2025	08:51	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			3.21	NTU		180.1	USEPA			
RPO	RPO250401:FM:PS:PH:	Field Msr/Obs	04/01/2025	08:51	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.08	None		8156	HACH			
RPO	RPO250401:FM:PS:TS:	Field Msr/Obs	04/01/2025	08:51	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			34.6	ppt		8160	HACH			
RPO	RPO250401:SR:WB:	Sample-Routine	04/01/2025	08:51	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		233.26	ug/l	Filtered, field	4500-N	APHA			
RPO	RPO250401:SR:WB:	Sample-Routine	04/01/2025	08:51	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		16.06	ug/l	Filtered, field	4500-P	APHA			
RPO	RPO250401:SR:WB:	Sample-Routine	04/01/2025	08:51	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		10.59	ug/l	Filtered, field	365.5	USEPA			
RPO	RPO250401:SR:WB:	Sample-Routine	04/01/2025	08:51	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			1663.55	ug/l	Filtered, field	366.0	USEPA			
