Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
NMP	NMP250708:FM:PS:TS:	Field Msr/Obs	07/08/2025	07:55	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			26.1	deg C		2550	APHA			
NMP	NMP250708:FM:PS:DO:	Field Msr/Obs	07/08/2025	07:55	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.17	mg/l		8157	HACH			
NMP	NMP250708:FM:PS:DO:	Field Msr/Obs	07/08/2025	07:55	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			91.6	%		8157	HACH			
NMP	NMP250708:FM:WB:	Field Msr/Obs	07/08/2025	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			5.73	NTU		180.1	USEPA			
NMP	NMP250708:FM:PS:PH:	Field Msr/Obs	07/08/2025	07:55	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.05	None		8156	HACH			
NMP	NMP250708:FM:PS:TS:	Field Msr/Obs	07/08/2025	07:55	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			34.2	ppt		8160	HACH			
NMP	NMP250708:SR:WB:	Sample-Routine	07/08/2025	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		290.49	ug/l	Filtered, field	4500-N	APHA			
NMP	NMP250708:SR:WB:	Sample-Routine	07/08/2025	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		16.63	ug/l	Filtered, field	4500-P	APHA			
NMP	NMP250708:SR:WB:	Sample-Routine	07/08/2025	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		13.62	ug/l	Filtered, field	365.5	USEPA			
NMP	NMP250708:SR:WB:	Sample-Routine	07/08/2025	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			1612.89	ug/l	Filtered, field	366.0	USEPA			
NMP	NMP250708:SR:WB:	Sample-Routine	07/08/2025	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		202.50	ug/l	Filtered, field	353.4	USEPA			
NMP	NMP250708:SR:WB:	Sample-Routine	07/08/2025	07:55	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		1.92	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
NKN	NKN250708:FM:PS:TS:	Field Msr/Obs	07/08/2025	08:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			26.1	deg C		2550	APHA			
NKN	NKN250708:FM:PS:DO:	Field Msr/Obs	07/08/2025	08:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			5.99	mg/l		8157	HACH			
NKN	NKN250708:FM:PS:DO:	Field Msr/Obs	07/08/2025	08:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			88.8	%		8157	HACH			
NKN	NKN250708:FM:WB:	Field Msr/Obs	07/08/2025	08:15	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			4.42	NTU		180.1	USEPA			
NKN	NKN250708:FM:PS:PH:	Field Msr/Obs	07/08/2025	08:15	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.11	None		8156	HACH			
