Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
WKB	WKB251001:FM:PS:TS:	Field Msr/Obs	10/01/2025	07:49	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			27.4	deg C		2550	APHA			
WKB	WKB251001:FM:PS:DO:	Field Msr/Obs	10/01/2025	07:49	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.54	mg/l		8157	HACH			
WKB	WKB251001:FM:PS:DO:	Field Msr/Obs	10/01/2025	07:49	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			100.1	%		8157	HACH			
WKB	WKB251001:FM:WB:	Field Msr/Obs	10/01/2025	07:49	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			1.06	NTU		180.1	USEPA			
WKB	WKB251001:FM:PS:PH:	Field Msr/Obs	10/01/2025	07:49	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.08	None		8156	HACH			
WKB	WKB251001:FM:PS:TS:	Field Msr/Obs	10/01/2025	07:49	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			36.6	ppt		8160	HACH			
WKB	WKB251001:SR:WB:	Sample-Routine	10/01/2025	07:49	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		74.49	ug/l	Filtered, field	4500-N	APHA			
WKB	WKB251001:SR:WB:	Sample-Routine	10/01/2025	07:49	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		9.65	ug/l	Filtered, field	4500-P	APHA			
WKB	WKB251001:SR:WB:	Sample-Routine	10/01/2025	07:49	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		4.47	ug/l	Filtered, field	365.5	USEPA			
WKB	WKB251001:SR:WB:	Sample-Routine	10/01/2025	07:49	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			101.46	ug/l	Filtered, field	366.0	USEPA			
