Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
RNS	RNS190108:FM:PS:TS:	Field Msr/Obs	01/08/2019	08:07	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			23.8	deg C		2550	APHA			
RNS	RNS190108:FM:PS:DO:	Field Msr/Obs	01/08/2019	08:07	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.88	mg/l		8157	HACH			
RNS	RNS190108:FM:PS:DO:	Field Msr/Obs	01/08/2019	08:07	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			98.5	%		8157	HACH			
RNS	RNS190108:FM:WB:	Field Msr/Obs	01/08/2019	08:07	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			0.95	NTU		180.1	USEPA			
RNS	RNS190108:FM:PS:PH:	Field Msr/Obs	01/08/2019	08:07	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.17	None		8156	HACH			
RNS	RNS190108:FM:PS:TS:	Field Msr/Obs	01/08/2019	08:07	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			34.6	ppt		8160	HACH			
RNS	RNS190108:SR:WB:	Sample-Routine	01/08/2019	08:07	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		77.30	ug/l	Filtered, field	4500-N	APHA			
RNS	RNS190108:SR:WB:	Sample-Routine	01/08/2019	08:07	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		6.71	ug/l	Filtered, field	4500-P	APHA			
RNS	RNS190108:SR:WB:	Sample-Routine	01/08/2019	08:07	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		4.86	ug/l	Filtered, field	365.5	USEPA			
RNS	RNS190108:SR:WB:	Sample-Routine	01/08/2019	08:07	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			115.34	ug/l	Filtered, field	366	USEPA			
RNS	RNS190108:SR:WB:	Sample-Routine	01/08/2019	08:07	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		11.45	ug/l	Filtered, field	353.4	USEPA			
RNS	RNS190108:SR:WB:	Sample-Routine	01/08/2019	08:07	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		1.85	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
RPO	RPO190108:FM:PS:TS:	Field Msr/Obs	01/08/2019	08:31	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			23.8	deg C		2550	APHA			
RPO	RPO190108:FM:PS:DO:	Field Msr/Obs	01/08/2019	08:31	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.81	mg/l		8157	HACH			
RPO	RPO190108:FM:PS:DO:	Field Msr/Obs	01/08/2019	08:31	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			97.3	%		8157	HACH			
RPO	RPO190108:FM:WB:	Field Msr/Obs	01/08/2019	08:31	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			8.97	NTU		180.1	USEPA			
RPO	RPO190108:FM:PS:PH:	Field Msr/Obs	01/08/2019	08:31	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.16	None		8156	HACH			
