Monitoring Location ID	Activity ID	Activity Type	Activity Start Date	Activity Start Time	Project ID 1	Project ID 2	Sample Collection Method ID	Sample Collection Equipment Name	Sample Collection Equipment Comment	Characteristic Name	Method Speciation	Result Detection Condition	Result Value	Result Unit	Result Sample Fraction	Result Analytical Method ID	Result Analytical Method Context	Result Detection Limit Type	Result Detection Limit Value	Result Detection Limit Unit
NKN	NKN210105:FM:PS:TS:	Field Msr/Obs	01/05/2021	07:58	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			25.5	deg C		2550	APHA			
NKN	NKN210105:FM:PS:DO:	Field Msr/Obs	01/05/2021	07:58	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			5.57	mg/l		8157	HACH			
NKN	NKN210105:FM:PS:DO:	Field Msr/Obs	01/05/2021	07:58	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			82.3	%		8157	HACH			
NKN	NKN210105:FM:WB:	Field Msr/Obs	01/05/2021	07:58	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			0.72	NTU		180.1	USEPA			
NKN	NKN210105:FM:PS:PH:	Field Msr/Obs	01/05/2021	07:58	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.08	None		8156	HACH			
NKN	NKN210105:FM:PS:TS:	Field Msr/Obs	01/05/2021	07:58	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			34.9	ppt		8160	HACH			
NKN	NKN210105:SR:WB:	Sample-Routine	01/05/2021	07:58	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		135.66	ug/l	Filtered, field	4500-N	APHA			
NKN	NKN210105:SR:WB:	Sample-Routine	01/05/2021	07:58	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		10.29	ug/l	Filtered, field	4500-P	APHA			
NKN	NKN210105:SR:WB:	Sample-Routine	01/05/2021	07:58	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		6.92	ug/l	Filtered, field	365.5	USEPA			
NKN	NKN210105:SR:WB:	Sample-Routine	01/05/2021	07:58	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			431.96	ug/l	Filtered, field	366	USEPA			
NKN	NKN210105:SR:WB:	Sample-Routine	01/05/2021	07:58	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		41.02	ug/l	Filtered, field	353.4	USEPA			
NKN	NKN210105:SR:WB:	Sample-Routine	01/05/2021	07:58	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		2.47	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
KWP	KWP210105:FM:PS:TS:	Field Msr/Obs	01/05/2021	08:12	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Temperature, water			24.1	deg C		2550	APHA			
KWP	KWP210105:FM:PS:DO:	Field Msr/Obs	01/05/2021	08:12	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen (DO)			6.30	mg/l		8157	HACH			
KWP	KWP210105:FM:PS:DO:	Field Msr/Obs	01/05/2021	08:12	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH LDO101	Dissolved oxygen saturation			89.7	%		8157	HACH			
KWP	KWP210105:FM:WB:	Field Msr/Obs	01/05/2021	08:12	HUI_PCHEM	EPABEACH	1002	Water Bottle	HACH 2100Q	Turbidity			12.57	NTU		180.1	USEPA			
KWP	KWP210105:FM:PS:PH:	Field Msr/Obs	01/05/2021	08:12	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH PHC101	pH			8.12	None		8156	HACH			
KWP	KWP210105:FM:PS:TS:	Field Msr/Obs	01/05/2021	08:12	HUI_PCHEM	EPABEACH	1002	Probe/Sensor	HACH CDC401	Salinity			32.9	ppt		8160	HACH			
KWP	KWP210105:SR:WB:	Sample-Routine	01/05/2021	08:12	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Nitrogen, mixed forms	as N		136.70	ug/l	Filtered, field	4500-N	APHA			
KWP	KWP210105:SR:WB:	Sample-Routine	01/05/2021	08:12	HUI_PCHEM	EPABEACH	1002	Water Bottle		Total Phosphorus, mixed forms	as P		11.00	ug/l	Filtered, field	4500-P	APHA			
KWP	KWP210105:SR:WB:	Sample-Routine	01/05/2021	08:12	HUI_PCHEM	EPABEACH	1002	Water Bottle		Orthophosphate	as P		9.58	ug/l	Filtered, field	365.5	USEPA			
KWP	KWP210105:SR:WB:	Sample-Routine	01/05/2021	08:12	HUI_PCHEM	EPABEACH	1002	Water Bottle		Silicate			1434.01	ug/l	Filtered, field	366	USEPA			
KWP	KWP210105:SR:WB:	Sample-Routine	01/05/2021	08:12	HUI_PCHEM	EPABEACH	1002	Water Bottle		Nitrate + Nitrite	as N		34.70	ug/l	Filtered, field	353.4	USEPA			
KWP	KWP210105:SR:WB:	Sample-Routine	01/05/2021	08:12	HUI_PCHEM	EPABEACH	1002	Water Bottle		Ammonium	as N		3.43	ug/l	Filtered, field	Ammonium-OPA	HUIWAIOLA_WQX			
